Year,Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,URL,Latitude,Longitude
2023,Sidra El Gaitero,0,0,3,3,6,https://ciderguide.com/glintcap/medalists/sidra-el-gaitero/,43.4923237,-5.4230532
2023,Castle Hill Cider,0,0,2,4,6,https://ciderguide.com/glintcap/medalists/castle-hill-cider/,38.0888889,-78.2908333
2023,Beach Bee Meadery,1,1,1,2,5,https://ciderguide.com/glintcap/medalists/beach-bee-meadery/,40.3090937,-73.98298
2023,Gowan's Heirloom Ciders,1,0,4,0,5,https://ciderguide.com/glintcap/medalists/gowans-heirloom-ciders/,39.0869042,-123.4751758
2023,Vala's Orchard Cider,1,0,3,1,5,https://ciderguide.com/glintcap/medalists/valas-orchard-cider/,41.1285802,-96.1989432
2023,Thornapple Brewing Company,0,2,2,1,5,https://ciderguide.com/glintcap/medalists/thornapple-brewing-company/,42.912347,-85.512693
2023,Bold Rock Hard Cider,0,1,4,0,5,https://ciderguide.com/glintcap/medalists/bold-rock-hard-cider/,37.881384,-78.904992
2023,California Cider Company,0,1,3,1,5,https://ciderguide.com/glintcap/medalists/california-cider-company/,38.423506,-122.849754
2023,Eris Brewery & Cider House,0,1,3,1,5,https://ciderguide.com/glintcap/medalists/eris-brewery-cider-house/,41.953873,-87.734239
2023,Stem Ciders,0,1,3,1,5,https://ciderguide.com/glintcap/medalists/stem-ciders/,39.761635,-104.983791
2023,Vander Mill,0,1,3,1,5,https://ciderguide.com/glintcap/medalists/vander-mill/,42.971697,-85.630719
2023,Original Sin Cider,0,0,5,0,5,https://ciderguide.com/glintcap/medalists/original-sin-cider/,40.733215,-73.991496
2023,Phillips Orchards & Cider Mill,0,0,5,0,5,https://ciderguide.com/glintcap/medalists/phillips-orchards-cider-mill/,43.1177,-84.563483
2023,Virtue Cider,0,0,5,0,5,https://ciderguide.com/glintcap/medalists/virtue-cider/,42.57688,-86.15187
2023,Wild State Cider,0,0,5,0,5,https://ciderguide.com/glintcap/medalists/wild-state-cider/,46.762891,-92.130134
2023,Ironbark Ciderworks,0,0,4,1,5,https://ciderguide.com/glintcap/medalists/ironbark-ciderworks/,34.10859,-117.701704
2023,Lost Boy Cider,0,0,4,1,5,https://ciderguide.com/glintcap/medalists/lost-boy-cider/,38.798715,-77.06327
2023,Number 12 Cider,0,0,4,1,5,https://ciderguide.com/glintcap/medalists/number-12-cider/,44.9852933,-93.2796211
2023,Sapsucker Farms Yellow Belly Cidery,0,0,4,1,5,https://ciderguide.com/glintcap/medalists/sapsucker-farms-yellow-belly-cidery/,45.8970174,-93.152247
2023,Seminary Hill Orchard & Cidery,0,0,4,1,5,https://ciderguide.com/glintcap/medalists/seminary-hill-orchard-cidery/,41.7743187,-75.0549915
2023,Toboggan Brewing Co.,0,0,4,1,5,https://ciderguide.com/glintcap/medalists/toboggan-brewing-co/,42.989853,-81.251191
2023,19 Acres Cider Co.,0,0,3,2,5,https://ciderguide.com/glintcap/medalists/19-acres-cider-co/,45.3886798,-122.9315471
2023,Ernest Cider,0,0,3,2,5,https://ciderguide.com/glintcap/medalists/ernest-cider/,44.059187,-79.461256
2023,Waves Cider Co.,0,0,3,2,5,https://ciderguide.com/glintcap/medalists/waves-cider-co/,38.9655649,-92.3297892
2023,Fenceline Cider,0,0,2,3,5,https://ciderguide.com/glintcap/medalists/fenceline-cider/,37.344471,-108.28887
2023,Avid Cider,0,0,1,4,5,https://ciderguide.com/glintcap/medalists/avid-cider/,44.0509307,-121.3144074
2023,Colorado Cider Company,2,0,1,1,4,https://ciderguide.com/glintcap/medalists/colorado-cider-company/,39.71898,-105.01961
2023,Yip Cider,1,1,1,1,4,https://ciderguide.com/glintcap/medalists/yip-cider/,45.448198,-66.121387
2023,Papa Moon Vineyards & Winery,1,1,0,2,4,https://ciderguide.com/glintcap/medalists/papa-moon-vineyards-winery/,41.8877158,-103.6176699
2023,James Creek Cider House,1,0,2,1,4,https://ciderguide.com/glintcap/medalists/james-creek-cider-house/,35.336069,-79.245782
2023,Peat's Original Cider,1,0,1,2,4,https://ciderguide.com/glintcap/medalists/peats-original-cider/,42.0052528,-86.5306091
2023,Albemarle CiderWorks,0,3,0,1,4,https://ciderguide.com/glintcap/medalists/albemarle-ciderworks/,37.966531,-78.650136
2023,Michigan Wine Company,0,2,2,0,4,https://ciderguide.com/glintcap/medalists/michigan-wine-company/,42.5945628,-86.2096112
2023,Black Diamond Cider,0,2,1,1,4,https://ciderguide.com/glintcap/medalists/black-diamond-cider/,42.547829,-76.655099
2023,Cambium Cider Co,0,2,1,1,4,https://ciderguide.com/glintcap/medalists/cambium-cider-co/,50.2798201,-119.2228203
