WID,Medalist,col2,col3,col4,Results,Best in Class,Gold,Silver,Bronze,Total,First,Last,Years,Results,Website,Facebook,Instagram,Google,State_Province,Country,Status,Latitude,Longitude
280,Flat Rock Cider Company,Flat Rock Cider Company,0,,https://glintcap.org/flat-rock-cider-company,0,0,2,8,10,2021,2023,3,https://glintcap.org/flat-rock-cider-company,https://www.flatrockcidercompany.com/,https://www.facebook.com/flatrockcidercompany,https://www.instagram.com/flatrockcidercompany/,https://maps.google.com/?cid=7852215967216509042,North Carolina,United States,Active,35.315966,-82.460411
284,Forgotten Fire Winery,Forgotten Fire Winery,0,,https://glintcap.org/forgotten-fire-winery,0,0,1,2,3,2023,2023,1,https://glintcap.org/forgotten-fire-winery,http://forgottenfirewinery.com/,https://www.facebook.com/ForgottenFireWinery/,https://www.instagram.com/forgottenfirewinery/,https://maps.google.com/?cid=12659592682629161189,Wisconsin,United States,Active,45.045825,-87.719535
287,Foxcraft Hard Cider,Foxcraft Hard Cider,0,,https://glintcap.org/foxcraft-hard-cider,0,0,0,4,4,2015,2015,1,https://glintcap.org/foxcraft-hard-cider,,,,,California,United States,Inactive,38.441272,-122.714998
289,Frecon Farms,Frecon's Cidery,x,https://ciderguide.com/frecon-farms/,https://glintcap.org/frecons-cidery,0,0,1,6,7,2013,2015,3,https://glintcap.org/frecons-cidery,http://www.freconfarms.com/,https://www.facebook.com/freconfarms/,https://www.instagram.com/freconscidery/,https://maps.google.com/?cid=8468164925776922213,Pennsylvania,United States,Active,40.328401,-75.647477
290,Freewater Cider and Wine Company,Freewater Cider Company,x,https://ciderguide.com/freewater-cider-and-wine-company/,https://glintcap.org/freewater-cider-company,0,1,2,5,8,2018,2021,3,https://glintcap.org/freewater-cider-company,http://www.freewatercider.com/,,,https://maps.google.com/?cid=3598112635185277642,Oregon,United States,Active,45.942433,-118.389708
294,Glacial Till Vineyard & Winery,Glacial Till Vineyard & Winery,0,,https://glintcap.org/glacial-till-cider,0,1,14,7,22,2022,2023,2,https://glintcap.org/glacial-till-cider,http://www.glacialtillvineyard.com/,https://www.facebook.com/glacialtillvineyard,https://www.instagram.com/glacialtillvineyard/,https://maps.google.com/?cid=185099829414435279,Nebraska,United States,Active,41.038896,-96.368951
295,Gnarly Grove Hard Cider,Gnarly Grove Hard Cider,0,,https://glintcap.org/gnarly-grove-hard-cider,0,0,0,2,2,2016,2016,1,https://glintcap.org/gnarly-grove-hard-cider,,,,,Indiana,United States,Inactive,39.267861,-85.832134
298,Golden State Cider,Golden State Cider,0,,https://glintcap.org/golden-state-cider,0,0,3,1,4,2015,2021,3,https://glintcap.org/golden-state-cider,https://www.drinkgoldenstate.com/,https://www.facebook.com/goldenstatecider/,https://www.instagram.com/drinkgoldenstate/,https://maps.google.com/?cid=18128387073217891419,California,United States,Active,38.4041073,-122.8198562
300,GoodRoad Ciderworks,GoodRoad Ciderworks,0,,https://glintcap.org/goodroad-ciderworks,0,1,3,6,10,2017,2018,2,https://glintcap.org/goodroad-ciderworks,,,,,North Carolina,United States,Inactive,35.184917,-80.879441
303,Gowan's Heirloom Ciders,Gowan's Heirloom Ciders,0,,https://glintcap.org/gowans-heirloom-cider,7,1,17,5,30,2018,2023,5,https://glintcap.org/gowans-heirloom-cider,http://www.gowansheirloomcider.com/,https://www.facebook.com/gowanscider/,https://www.instagram.com/gowanscider/,https://www.google.com/maps?cid=14585432541984297394,California,United States,Active,39.0869042,-123.4751758
305,Grand Illusion Hard Cider,Grand Illusion Hard Cider,0,,https://glintcap.org/grand-illusion-hard-cider,0,0,0,4,4,2017,2019,3,https://glintcap.org/grand-illusion-hard-cider,https://www.grandillusioncider.com/,https://www.facebook.com/grandillusioncider/,https://www.instagram.com/gihardcider/,https://maps.google.com/?cid=4286886680889976245,Pennsylvania,United States,Active,40.20144,-77.190639
306,Green Bench Brewing Co.,Green Bench Mead & Cider,x,https://ciderguide.com/green-bench-brewing-co/,https://glintcap.org/green-bench-mead-and-cider,0,1,12,5,18,2019,2023,4,https://glintcap.org/green-bench-mead-and-cider,https://www.greenbenchbrewing.com/,https://www.facebook.com/GreenBenchBrewing/,https://www.instagram.com/greenbenchmeadcider/,https://maps.google.com/?cid=4473987284585319628,Florida,United States,Active,27.771864,-82.650644
308,Greenwood Cider Company,Greenwood Cider Company,0,,https://glintcap.org/greenwood-cider-company,0,0,1,2,3,2018,2018,1,https://glintcap.org/greenwood-cider-company,https://www.greenwoodcider.com/,https://www.facebook.com/greenwoodcider,https://www.instagram.com/greenwoodcider,https://maps.google.com/?cid=9193094358946814076,Washington,United States,Active,47.701787,-122.302635
309,Griffin Cider Works,Griffin Cider Works,0,,https://glintcap.org/griffin-cider-works,0,0,1,3,4,2013,2017,2,https://glintcap.org/griffin-cider-works,,,,,Ohio,United States,Inactive,41.470266,-81.896853
312,Gypsy Circus InCider Taproom,Gypsy Circus,x,https://ciderguide.com/gypsy-circus-incider-taproom/,https://glintcap.org/gypsy-circus-cider-company,1,5,35,29,70,2017,2023,4,https://glintcap.org/gypsy-circus-cider-company,http://gypsycircuscider.com/,https://www.facebook.com/GypsyCircusCider/,https://www.instagram.com/gypsycircuscider/,https://maps.google.com/?cid=4520512866262691085,Tennessee,United States,Active,36.520022,-82.51794
320,Hardscrabble Cider,Hardscrabble Cider,0,,https://glintcap.org/brothers-covino,0,0,1,3,4,2016,2016,1,https://glintcap.org/brothers-covino,http://www.hardscrabbleciderny.com/,,https://www.instagram.com/hardscrabblecider/,https://maps.google.com/?cid=14255845854245110919,New York,United States,Active,41.349727,-73.635051
322,Hawk Knob,Hawk Knob,0,,https://glintcap.org/hawk-knob,0,1,8,8,17,2016,2021,5,https://glintcap.org/hawk-knob,http://www.hawkknob.com/,https://www.facebook.com/hawkknob/,https://www.instagram.com/hawkknob/,https://maps.google.com/?cid=14199522505934474826,West Virginia,United States,Active,37.811476,-80.50273
323,Haykin Family Cider,Haykin Family Cider,0,,https://glintcap.org/haykin-family-cider,9,14,64,22,109,2017,2023,6,https://glintcap.org/haykin-family-cider,http://www.haykinfamilycider.com/,https://www.facebook.com/HaykinFamilyCider,https://www.instagram.com/haykinfamilycider/,https://maps.google.com/?cid=7119124922857734574,Colorado,United States,Active,39.764391,-104.848127
324,Hazlitt 1852 Vineyards,Hazlitt 1852 Cider Crafters,x,https://ciderguide.com/hazlitt-1852-vineyards/,https://glintcap.org/hazlitt-1852-cider-crafters,0,1,12,10,23,2016,2023,7,https://glintcap.org/hazlitt-1852-cider-crafters,https://hazlitt1852.com/,,,https://maps.google.com/?cid=5120913070607308492,New York,United States,Active,42.621963,-77.400262
325,Headwater Cider,Headwater Cider,0,,https://glintcap.org/headwater-cider,0,1,3,3,7,2015,2021,5,https://glintcap.org/headwater-cider,http://www.headwatercider.com/,https://www.facebook.com/profile.php?id=100072389300487,,https://maps.google.com/?cid=10677507708826586466,Massachusetts,United States,Active,42.58249,-72.860053
333,Holmberg Orchards & Winery,Holmberg Orchards & Winery,0,,https://glintcap.org/holmberg-orchards-winery,0,0,1,2,3,2007,2007,1,https://glintcap.org/holmberg-orchards-winery,http://www.holmbergorchards.com/,https://www.facebook.com/HolmbergOrchards,https://www.instagram.com/holmbergorchards/,https://maps.google.com/?cid=4720941997914927332,Connecticut,United States,Active,41.468406,-72.058204
341,Hudson Valley Farmhouse Cider,Hudson Valley Farmhouse Cider,0,,https://glintcap.org/hudson-valley-farmhouse-cider,0,0,2,2,4,2018,2018,1,https://glintcap.org/hudson-valley-farmhouse-cider,http://www.hudsonvalleyfarmhousecider.com/,,,https://maps.google.com/?cid=10113111148158344335,New York,United States,Active,41.858265,-73.807785
342,Humboldt Cider Company,Humboldt Cider Company,0,,https://glintcap.org/humboldt-cider-company,0,1,3,6,10,2015,2017,3,https://glintcap.org/humboldt-cider-company,,https://www.facebook.com/HumboldtCider/,https://www.instagram.com/humboldtcidercompany/,https://www.google.com/maps?cid=9833726366522566502,California,United States,Active,40.7817209,-124.1298735
345,Incline Cider Company,Incline Cider Company,0,,https://glintcap.org/incline-cider-company,1,2,11,5,19,2017,2023,4,https://glintcap.org/incline-cider-company,http://www.inclinecider.com/,https://www.facebook.com/inclinecider/,https://www.instagram.com/inclinecider/,https://maps.google.com/?cid=504944612388443997,Washington,United States,Active,47.307323,-122.228453
348,Ironbark Ciderworks,Ironbark Ciderworks,0,,https://glintcap.org/ironbark-ciderworks,0,0,4,1,5,2023,2023,1,https://glintcap.org/ironbark-ciderworks,https://www.ironbarkciderworks.com/,https://www.facebook.com/ironbarkcider/,https://www.instagram.com/ironbarkcider/,https://maps.google.com/?cid=8906916779198297766,California,United States,Active,34.10859,-117.701704
350,Island Orchard Cider,Island Orchard Cider,0,,https://glintcap.org/island-orchard-cider,1,3,23,15,42,2015,2023,7,https://glintcap.org/island-orchard-cider,http://islandorchardcider.com/,https://www.facebook.com/IslandOrchardCider,https://www.instagram.com/islandorchardcider/,https://maps.google.com/?cid=8005585823394699432,Wisconsin,United States,Active,45.256318,-87.071244
354,James Creek Cider House,James Creek Cider House,0,,https://glintcap.org/james-creek-ciderhouse,1,0,8,10,19,2016,2023,5,https://glintcap.org/james-creek-ciderhouse,https://jamescreekciderhouse.com/,https://www.facebook.com/jamescreekciderhouse,https://www.instagram.com/jamescreekciderhouse/,https://maps.google.com/?cid=8654485681895206331,North Carolina,United States,Active,35.336069,-79.245782
357,Jefferson County Ciderworks,Jefferson County Ciderworks,0,,https://glintcap.org/jefferson-county-ciderworks,3,2,14,8,27,2017,2023,4,https://glintcap.org/jefferson-county-ciderworks,https://cider.work/,https://www.facebook.com/jeffcocider,https://www.instagram.com/jeffcocider/,https://maps.google.com/?cid=8237417276158156047,Iowa,United States,Active,41.017198,-92.018367
362,Kaneb Orchards,Kaneb Orchards,0,,https://glintcap.org/kaneb-orchards,0,0,4,5,9,2015,2018,4,https://glintcap.org/kaneb-orchards,http://www.kaneborchards.com/,https://www.facebook.com/kaneborchards,,https://maps.google.com/?cid=102588345374024107,New York,United States,Active,44.945459,-74.853156
367,Kekionga Craft Company,Kekionga Cider Company,x,https://ciderguide.com/kekionga-craft-company/,https://glintcap.org/kekionga-cider-company,0,0,2,4,6,2018,2019,2,https://glintcap.org/kekionga-cider-company,http://kekiongaciderco.com/,https://www.facebook.com/kekiongacraftcompany,https://www.instagram.com/kekiongacraftcompany/,https://maps.google.com/?cid=6397238888360308523,Indiana,United States,Active,41.098914,-85.044471
368,Kennebec Cider Company,Kennebec Cider Company,0,,https://glintcap.org/kennebec-cider-company,0,0,1,0,1,2011,2011,1,https://glintcap.org/kennebec-cider-company,,,,,Maine,United States,Inactive,44.3251,-69.898994
372,Kings Highway Fine Cider,Kings Highway Fine Cider,0,,https://glintcap.org/kings-highway-fine-cider,0,2,19,18,39,2016,2018,3,https://glintcap.org/kings-highway-fine-cider,https://cider.nyc/,,https://www.instagram.com/kingshighway_cider/,https://maps.google.com/?cid=1012291909954476569,New York,United States,Active,41.8978652,-73.534851
380,Lassen Traditional Cider,Lassen Traditional Cider,0,,https://glintcap.org/lassen-traditional-cider,0,1,3,7,11,2017,2023,6,https://glintcap.org/lassen-traditional-cider,https://www.lassencider.com/,https://www.facebook.com/lassencider/,https://www.instagram.com/lassencider/,https://maps.google.com/?cid=10315637006146688710,California,United States,Active,39.714697,-121.820272
387,Liberty Ciderworks,Liberty Ciderworks,0,,https://glintcap.org/liberty-ciderworks,1,3,11,13,28,2013,2021,8,https://glintcap.org/liberty-ciderworks,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,Washington,United States,Active,47.655356,-117.418438
389,Liquid Alchemy Beverages,Liquid Alchemy Ciderworks,x,https://ciderguide.com/liquid-alchemy-beverages/,https://glintcap.org/liquid-alchemy-ciderworks,0,1,4,4,9,2018,2023,3,https://glintcap.org/liquid-alchemy-ciderworks,https://www.liquidalchemybeverages.com/,https://www.facebook.com/LiquidAlchemyBeverages/,https://www.instagram.com/liquidalchemybeverages,https://maps.google.com/?cid=17392171192902258223,Delaware,United States,Active,39.729206,-75.580718
391,Locust Cider,Locust Cider,0,,https://glintcap.org/locust-cider,0,0,14,21,35,2016,2023,7,https://glintcap.org/locust-cider,http://www.locustcider.com/,https://www.facebook.com/locustcider,https://www.instagram.com/locustcider,https://www.google.com/maps?cid=17533531076865420551,Washington,United States,Active,47.766244,-122.148563
396,Lost Boy Cider,Lost Boy Cider,0,,https://glintcap.org/lost-boy-cider,0,1,15,7,23,2021,2023,3,https://glintcap.org/lost-boy-cider,https://lostboycider.com/,https://www.facebook.com/lostboycider/,https://www.instagram.com/lostboycider/,https://maps.google.com/?cid=2623373656020855749,Virginia,United States,Active,38.798715,-77.06327
397,Lost Giants Cider Company,Lost Giants Cider Company,0,,https://glintcap.org/lost-giants-cider-company,1,0,3,4,8,2019,2021,2,https://glintcap.org/lost-giants-cider-company,https://lostgiantscider.com/,https://www.facebook.com/LostGiantsCider,https://www.instagram.com/lostgiantsciderco,https://maps.google.com/?cid=3699889965366654678,Washington,United States,Active,48.752457,-122.459354
401,Maiden Rock Winery & Cidery,Maiden Rock Winery & Cidery,0,,https://glintcap.org/maiden-rock-winery-cidery,2,1,6,3,12,2011,2023,8,https://glintcap.org/maiden-rock-winery-cidery,http://www.maidenrockwinerycidery.com/,https://www.facebook.com/WineryCidery/,,https://maps.google.com/?cid=3321455700224536041,Wisconsin,United States,Active,44.515238,-92.268117
407,McClure's Orchard & Winery,McClure's Orchard & Winery,0,,https://glintcap.org/mcclures-orchard-winery,0,4,10,19,33,2011,2023,7,https://glintcap.org/mcclures-orchard-winery,http://www.mccluresorchard.com/,https://www.facebook.com/McCluresTollHouse/,https://www.instagram.com/mccluresorchard/,https://maps.google.com/?cid=9370461394563366351,Indiana,United States,Active,40.837576,-86.130016
410,McRitchie Winery & Ciderworks,McRitchie Winery & Ciderworks,0,,https://glintcap.org/mcritchie-winery-ciderworks,0,0,2,2,4,2009,2013,3,https://glintcap.org/mcritchie-winery-ciderworks,http://www.mcritchiewine.com/,https://www.facebook.com/McRitchieWinery,https://www.instagram.com/mcritchiewinery/,https://maps.google.com/?cid=1644535800362164704,North Carolina,United States,Active,36.367307,-80.946974
413,Meraki Cider,Meraki Cider,0,,https://glintcap.org/meraki-cider,0,0,0,4,4,2017,2017,1,https://glintcap.org/meraki-cider,,,,,California,United States,Inactive,35.135223,-120.612188
415,Meriwether Cider Company,Meriwether Cider Company,0,,https://glintcap.org/meriwether-cider-co,4,2,14,5,25,2018,2023,5,https://glintcap.org/meriwether-cider-co,http://www.meriwethercider.com/,https://www.facebook.com/meriwethercider,https://www.instagram.com/meriwethercider/,https://maps.google.com/?cid=7830741432069672416,Idaho,United States,Active,43.645176,-116.271227
416,Mershon's Artisan Cider,Mershon's Artisan Cider,0,,https://glintcap.org/mershons-cidery,0,1,0,1,2,2023,2023,1,https://glintcap.org/mershons-cidery,http://www.mershonscider.com/,https://www.facebook.com/MershonsCider/,https://www.instagram.com/mershonscider/,https://maps.google.com/?cid=14483166591297687257,Wisconsin,United States,Active,42.929738,-89.213077
417,Metal House Cider,Metal House Cider,0,,https://glintcap.org/metal-house-cider,0,0,1,1,2,2018,2018,1,https://glintcap.org/metal-house-cider,http://metalhousecider.com/,,https://www.instagram.com/metalhousecider/,,New York,United States,Active,41.848908,-73.973564
418,Methow Valley Ciderhouse,Methow Valley Ciderhouse,0,,https://glintcap.org/methow-valley-ciderhouse,1,1,4,5,11,2013,2018,5,https://glintcap.org/methow-valley-ciderhouse,https://methowvalleyciderhousellc.com/,https://www.facebook.com/methowcider,,https://maps.google.com/?cid=17865926054259925025,Washington,United States,Active,48.477133,-120.186948
419,Milk & Honey Ciders,Milk & Honey Ciders,0,,https://glintcap.org/milk-honey-ciders,0,0,2,2,4,2016,2016,1,https://glintcap.org/milk-honey-ciders,http://www.milkandhoneyciders.com/,https://www.facebook.com/MilkandHoneyCiders,https://www.instagram.com/milkandhoneyciders,https://maps.google.com/?cid=5951424554567776492,Minnesota,United States,Active,44.973372,-93.247754
420,Mill Bridge Winery,Mill Bridge Winery,0,,https://glintcap.org/mill-bridge-winery,0,0,1,1,2,2017,2017,1,https://glintcap.org/mill-bridge-winery,http://www.millbridgewinery.com/,,,https://maps.google.com/?cid=2315023363076254103,Tennessee,United States,Active,35.788615,-83.554632
423,Minneapolis Cider Company,Minneapolis Cider Company,0,,https://glintcap.org/minneapolis-cider-co,0,0,7,2,9,2016,2023,3,https://glintcap.org/minneapolis-cider-co,https://minneapoliscider.co/,https://www.facebook.com/MinneapolisCider/,https://www.instagram.com/minneapoliscider,https://maps.google.com/?cid=7331255600636952675,Minnesota,United States,Active,44.977753,-93.265011
428,Montana CiderWorks,Montana CiderWorks,0,,https://glintcap.org/montana-ciderworks,1,5,7,5,18,2012,2023,8,https://glintcap.org/montana-ciderworks,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,Montana,United States,Active,45.965401,-114.11709
432,Mountain West Cider Company,Mountain West Cider Company,0,,https://glintcap.org/mountain-west-cider-company,1,0,8,6,15,2016,2023,3,https://glintcap.org/mountain-west-cider-company,http://mountainwestcider.com/,https://www.facebook.com/MountainWestHardCider/,https://www.instagram.com/mountainwestcider/,https://maps.google.com/?cid=16538924633378887108,Utah,United States,Active,40.778772,-111.903037
435,Nashi Orchards,Nashi Orchards,0,,https://glintcap.org/nashi-orchards,1,2,6,5,14,2016,2022,4,https://glintcap.org/nashi-orchards,http://www.nashiorchards.com/,https://www.facebook.com/nashiorchards,https://www.instagram.com/nashi_orchards/,https://maps.google.com/?cid=12360902013052761069,Washington,United States,Active,47.375697,-122.504058
440,The New Frontier Cider Company,The New Frontier Cider Company,0,,https://glintcap.org/the-new-frontier-cider-company,0,0,0,1,1,2019,2019,1,https://glintcap.org/the-new-frontier-cider-company,,,,,Ohio,United States,Inactive,41.04744,-81.850545
446,Nine Pin Cider,Nine Pin Cider,0,,https://glintcap.org/nine-pin-cider,0,0,1,2,3,2014,2015,2,https://glintcap.org/nine-pin-cider,http://www.ninepincider.com/,,https://www.instagram.com/ninepincider/,https://maps.google.com/?cid=2997433588563467926,New York,United States,Active,42.661798,-73.744166
447,Noble Cider,Noble Cider,0,,https://glintcap.org/noble-cider,1,3,9,8,21,2016,2023,6,https://glintcap.org/noble-cider,http://www.noblecider.com/,https://www.facebook.com/NobleCider,https://www.instagram.com/noble_cider/,https://maps.google.com/?cid=10806279487860629423,North Carolina,United States,Active,35.602136,-82.62465
452,North Shore Cider Company,North Shore Cider Company,0,,https://glintcap.org/north-shore-cider-co,0,0,2,1,3,2018,2019,2,https://glintcap.org/north-shore-cider-co,,,,,Illinois,United States,Inactive,42.019682,-87.680734
454,Number 12 Cider,Number 12 Cider,0,,https://glintcap.org/number-12-cider,0,3,14,5,22,2016,2023,5,https://glintcap.org/number-12-cider,http://www.number12ciderhouse.com/,https://www.facebook.com/number12cider,https://www.instagram.com/number12cider/,https://maps.google.com/?cid=2535435254747381286,Minnesota,United States,Active,44.9852933,-93.2796211
455,OK Cider Co,OK Cider Co,0,,https://glintcap.org/ok-cider-co,0,0,3,3,6,2022,2022,1,https://glintcap.org/ok-cider-co,https://okciderco.com/,https://www.facebook.com/okciderco/,https://www.instagram.com/okciderco,https://maps.google.com/?cid=14630301903407867537,Oklahoma,United States,Active,35.4670261,-97.5247456
456,Old Hill Cider,Old Hill Cider,0,,https://glintcap.org/old-hill-cider,0,1,1,7,9,2014,2018,3,https://glintcap.org/old-hill-cider,https://www.showaltersorchard.com/,https://www.facebook.com/OldHillCider,https://www.instagram.com/oldhillcider/,https://maps.google.com/?cid=9342034920472670388,Virginia,United States,Active,38.667709,-78.797062
463,OR\WA Cider Collective,OR\WA Cider Collective,0,,https://glintcap.org/orwa-cider-collective,0,0,2,0,2,2018,2018,1,https://glintcap.org/orwa-cider-collective,,,,,Oregon,United States,Inactive,45.440262,-122.630103
467,Original Sin Cider,Original Sin Cider,0,,https://glintcap.org/original-sin,0,4,13,4,21,2009,2023,7,https://glintcap.org/original-sin,http://www.origsin.com/,https://www.facebook.com/sincider/,https://www.instagram.com/originalsincider/,,New York,United States,Active,40.733215,-73.991496
483,Platform Beer Company,Platform Beer Company,0,,https://glintcap.org/platform-beer-company,0,0,0,3,3,2017,2021,2,https://glintcap.org/platform-beer-company,,,,,Ohio,United States,Inactive,41.479836,-81.713968
484,Ploughman Cider,Ploughman Cider,0,,https://glintcap.org/ploughman-cider,0,0,4,4,8,2019,2022,2,https://glintcap.org/ploughman-cider,http://ploughmancider.com/,https://www.facebook.com/PloughmanCider/,https://www.instagram.com/ploughmancider/,https://maps.google.com/?cid=2013585229631890349,Pennsylvania,United States,Active,39.98603,-77.297959
490,Portland Cider Company,Portland Cider Company,0,,https://glintcap.org/portland-cider-co,1,3,14,12,30,2013,2023,8,https://glintcap.org/portland-cider-co,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,Oregon,United States,Active,45.415288,-122.572714
491,Potter's Craft Cider,Potter's Craft Cider,0,,https://glintcap.org/potters-craft-cider,0,2,6,1,9,2019,2021,2,https://glintcap.org/potters-craft-cider,https://potterscraftcider.com/,https://www.facebook.com/potterscraftcider,https://www.instagram.com/potterscraftcider/,https://maps.google.com/?cid=5866852060832925678,Virginia,United States,Active,37.9986534,-78.5798492
492,Prima Cider,Prima Cider,0,,https://glintcap.org/prima-cider,0,1,1,0,2,2019,2019,1,https://glintcap.org/prima-cider,http://www.primacider.com/,https://www.facebook.com/primacider/,,,Illinois,United States,Active,42.232727,-88.015032
493,Prospect Ciderworks,Prospect Ciderworks,0,,https://glintcap.org/prospect-ciderworks,0,0,0,3,3,2018,2018,1,https://glintcap.org/prospect-ciderworks,,,,,Massachusetts,United States,Inactive,42.542993,-71.575747
497,Ragged Hill Cider,Ragged Hill Cider,0,,https://glintcap.org/ragged-hill-cider-company,1,3,2,9,15,2018,2023,5,https://glintcap.org/ragged-hill-cider-company,https://www.raggedhillcider.com/,https://www.facebook.com/RaggedHillCider/,https://www.instagram.com/raggedhillcider/,https://maps.google.com/?cid=12743756096350248911,Massachusetts,United States,Active,42.269444,-72.168979
498,Raging Cider & Mead,Raging Cider & Mead,0,,https://glintcap.org/raging-cider-mead,0,1,1,4,6,2018,2019,2,https://glintcap.org/raging-cider-mead,http://www.ragingcidermead.com/,https://www.facebook.com/ragingcider/,https://www.instagram.com/raging_cider/,https://maps.google.com/?cid=4063834740320553778,California,United States,Active,33.144079,-117.18753
501,Rebel Seed Cidery,Rebel Seed Cidery,0,,https://glintcap.org/rebel-seed-cidery,0,0,0,1,1,2016,2016,1,https://glintcap.org/rebel-seed-cidery,,https://www.facebook.com/RebelSeedCider/,,https://maps.google.com/?cid=7067059753674240387,Delaware,United States,Active,39.083683,-75.742472
504,Red Clay Ciderworks,Red Clay Ciderworks,0,,https://glintcap.org/red-clay-ciderworks,0,0,2,5,7,2018,2018,1,https://glintcap.org/red-clay-ciderworks,http://redclayciderworks.com/,https://www.facebook.com/redclayhardcider/,https://www.instagram.com/redclaycider/,https://maps.google.com/?cid=4377108592727573925,North Carolina,United States,Active,35.194573,-80.874782
507,Redbyrd Orchard Cider,Redbyrd Orchard Cider,0,,https://glintcap.org/redbyrd-orchard-cider,0,0,3,3,6,2013,2014,2,https://glintcap.org/redbyrd-orchard-cider,https://redbyrdorchardcider.com/,https://www.facebook.com/RedbyrdOrchardCider/,https://www.instagram.com/redbyrdcider/,https://maps.google.com/?cid=10591381775381095701,New York,United States,Active,42.500194,-76.639118
511,Renaissance Orchards,Renaissance Orchards,0,,https://glintcap.org/renaissance-orchards,2,1,2,2,7,2016,2022,5,https://glintcap.org/renaissance-orchards,https://renaissanceorchards.com/,https://www.facebook.com/RenaissanceOrchardsCider/,https://www.instagram.com/renaissanceorchards/,https://maps.google.com/?cid=8299199662211416163,Washington,United States,Active,48.834936,-122.640266
512,Restoration Cider,Restoration Cider,0,,https://glintcap.org/restoration-cider,0,0,2,1,3,2017,2017,1,https://glintcap.org/restoration-cider,http://www.restorationcider.com/,https://www.facebook.com/restorationcider/,https://www.instagram.com/restorationcider/,https://maps.google.com/?cid=13156191689318021594,Wisconsin,United States,Active,43.051481,-89.27519
514,Reverend Nat's Hard Cider,Reverend Nat's Hard Cider,0,,https://glintcap.org/reverend-nats-hard-cider,0,2,5,8,15,2013,2016,4,https://glintcap.org/reverend-nats-hard-cider,,,,,Oregon,United States,Inactive,45.5050424,-122.6278162
515,Rhinegeist Brewery,Rhinegeist Brewery,0,,https://glintcap.org/rhinegeist-brewery,0,1,6,3,10,2017,2022,3,https://glintcap.org/rhinegeist-brewery,http://www.rhinegeist.com/,https://www.facebook.com/rhinegeist,https://www.instagram.com/rhinegeist/,https://maps.google.com/?cid=4624817204033581156,Ohio,United States,Active,39.117266,-84.520101
516,Ricker Hill,Ricker Hill,0,,https://glintcap.org/ricker-hill,0,1,6,3,10,2016,2018,3,https://glintcap.org/ricker-hill,http://www.rickershardcider.com/,,,https://maps.google.com/?cid=18164962847201727107,Maine,United States,Active,44.26588,-70.280404
517,Rider Ranch,Rider Ranch,0,,https://glintcap.org/rider-ranch,0,0,1,0,1,2018,2018,1,https://glintcap.org/rider-ranch,,,,,California,United States,Inactive,37.122006,-121.977594
518,Right Bee Cider,Right Bee Cider,0,,https://glintcap.org/right-bee-cider,0,0,5,3,8,2018,2021,3,https://glintcap.org/right-bee-cider,http://www.rightbeecider.com/,https://www.facebook.com/rightbeecider/,https://www.instagram.com/rightbeecider/,https://maps.google.com/?cid=3785946038058251944,Illinois,United States,Active,41.914519,-87.736933
521,Riverhead Ciderhouse,Riverhead Ciderhouse,0,,https://glintcap.org/riverhead-ciderhouse,0,1,4,1,6,2018,2021,3,https://glintcap.org/riverhead-ciderhouse,http://riverheadcider.com/,https://www.facebook.com/RiverheadCiderhouse/,https://www.instagram.com/riverhead_ciderhouse/,https://maps.google.com/?cid=5566760778956005917,New York,United States,Active,40.958383,-72.729308
527,Rogue Ales & Spirits,Rogue Ales & Spirits,0,,https://glintcap.org/rogue-ales-spirits,0,0,1,0,1,2016,2016,1,https://glintcap.org/rogue-ales-spirits,http://www.rogue.com/,,,https://maps.google.com/?cid=15972873389957435766,Oregon,United States,Active,44.620258,-124.052403
529,Rootstock Ciderworks,Rootstock Ciderworks,0,,https://glintcap.org/rootstock-ciderworks,2,3,19,8,32,2015,2022,7,https://glintcap.org/rootstock-ciderworks,,,,,New York,United States,Inactive,43.201215,-77.224684
534,Runcible Cider,Runcible Cider,0,,https://glintcap.org/runcible-cider,0,0,4,7,11,2017,2023,4,https://glintcap.org/runcible-cider,https://www.runciblecider.com/,https://www.facebook.com/runciblecider/,https://www.instagram.com/runciblecider/,https://maps.google.com/?cid=15182592417091165603,Oregon,United States,Active,45.673003,-121.408294
535,Russell Orchards,Russell Orchards,0,,https://glintcap.org/russell-orchards,0,0,2,2,4,2011,2011,1,https://glintcap.org/russell-orchards,http://www.russellorchards.com/,https://www.facebook.com/russellorchards,,https://maps.google.com/?cid=11665460520789308482,Massachusetts,United States,Active,42.664953,-70.799866
537,S. Martinelli & Co.,S. Martinelli & Co.,0,,https://glintcap.org/s-martinelli-co,0,0,2,0,2,2019,2021,2,https://glintcap.org/s-martinelli-co,https://www.martinellis.com/,,https://www.instagram.com/martinellisco/,https://maps.google.com/?cid=8541194903885889884,California,United States,Active,36.902162,-121.7648
