WID,Medalist,col2,col3,col4,Results,Best in Class,Gold,Silver,Bronze,Total,First,Last,Years,Results,Website,Facebook,Instagram,Google,State_Province,Country,Status,Latitude,Longitude
26,Blackgrass Ciderworks,Blackgrass Ciderworks,0,,https://glintcap.org/blackgrass-ciderworks,0,0,7,12,19,2021,2023,3,https://glintcap.org/blackgrass-ciderworks,https://www.blackgrasscider.com/,https://www.facebook.com/blackgrasscider,https://www.instagram.com/BlackgrassCider/,https://maps.google.com/?cid=706094858439654713,Michigan,United States,Active,42.543611,-83.195536
27,Kuhnhenn Brewing Co.,Kuhnhenn Brewing Co.,0,,https://glintcap.org/kuhnhenn-brewing,0,1,0,0,1,2023,2023,1,https://glintcap.org/kuhnhenn-brewing,http://www.kbrewery.com/,https://www.facebook.com/KuhnhennBrewingCo,https://www.instagram.com/kuhnhennbrewing/,https://maps.google.com/?cid=15962690616595599148,Michigan,United States,Active,42.527768,-83.046765
28,Mawby Vineyards,Mawby Vineyards,0,,https://glintcap.org/mawby-vineyards,0,1,3,4,8,2016,2018,3,https://glintcap.org/mawby-vineyards,https://mawby.wine/,https://www.facebook.com/MAWBYwinery,https://www.instagram.com/mibubbly/,https://maps.google.com/?cid=2471409306317185463,Michigan,United States,Active,44.913676,-85.65229
30,Left Foot Charley,Left Foot Charley,0,,https://glintcap.org/left-foot-charley,1,3,21,11,36,2011,2023,10,https://glintcap.org/left-foot-charley,http://www.leftfootcharley.com/,https://www.facebook.com/LeftFootCharleyWinery,https://www.instagram.com/leftfootcharley/,https://maps.google.com/?cid=16198693468177995981,Michigan,United States,Active,44.756339,-85.645097
31,Lehman's Orchards,Lehman's Orchards,0,,https://glintcap.org/lehmans-orchards,0,0,3,1,4,2009,2011,2,https://glintcap.org/lehmans-orchards,,https://www.facebook.com/LehmansFarmHouse/,https://www.instagram.com/lehmansfarmhouse/,https://maps.google.com/?cid=15791562542672343306,Michigan,United States,Active,41.8286715,-86.3576005
33,Mcintosh Cellars,Mcintosh Cellars,0,,https://glintcap.org/mcintosh-cellars,1,2,7,10,20,2006,2019,9,https://glintcap.org/mcintosh-cellars,,,,,Michigan,United States,Inactive,42.469453,-86.170857
34,Meckley's Cidery,Meckley's Cidery,0,,https://glintcap.org/meckleys-cidery,0,0,4,15,19,2013,2016,4,https://glintcap.org/meckleys-cidery,http://flavorfruitfarm.com/,https://www.facebook.com/flavorfruitfarm/,https://www.instagram.com/meckleysflavorfruitfarm/,https://maps.google.com/?cid=3784686605669895808,Michigan,United States,Active,42.058904,-84.405962
36,Nomad Cidery,Nomad Cidery,0,,https://glintcap.org/nomad-cidery,0,0,2,4,6,2017,2018,2,https://glintcap.org/nomad-cidery,,,,,Michigan,United States,Inactive,44.772385,-85.4418419
37,Northern Natural Cider House & Winery,Northern Natural Winery,x,https://ciderguide.com/northern-natural-cider-house-winery/,https://glintcap.org/northern-natural-winery,0,2,3,6,11,2013,2017,5,https://glintcap.org/northern-natural-winery,http://www.northernnaturalwinery.com/,https://www.facebook.com/northernnaturalwinery,https://www.instagram.com/northernnaturalciderhouse/,https://maps.google.com/?cid=17749341957373928380,Michigan,United States,Active,44.3464985,-86.1020865
38,Northville Winery and Brewing Company,Northville Winery and Brewing Company,0,,https://glintcap.org/northville-winery-and-brewing-company,4,4,28,29,65,2008,2023,14,https://glintcap.org/northville-winery-and-brewing-company,http://www.thenorthvillewinery.com/,https://www.facebook.com/northvillewinery,https://www.instagram.com/northvillewinery/,https://maps.google.com/?cid=1839304926738675152,Michigan,United States,Active,42.437271,-83.475242
39,Ore Creek Craft Cider,Ore Creek Craft Cider,0,,https://glintcap.org/ore-creek-craft-ciders,0,0,1,4,5,2022,2023,2,https://glintcap.org/ore-creek-craft-ciders,https://orecreekmi.com/,https://www.facebook.com/orecreekcraftcider,https://www.instagram.com/orecreekcraftcider/,https://maps.google.com/?cid=9044276102436468725,Michigan,United States,Active,42.4182281,-83.905632
40,Painted Turtle Hard Cider,Painted Turtle Hard Cider,0,,https://glintcap.org/painted-turtle-hard-cider,0,0,2,3,5,2017,2021,2,https://glintcap.org/painted-turtle-hard-cider,http://www.paintedturtlehardcider.com/,https://www.facebook.com/paintedturtlehardcider,https://www.instagram.com/paintedturtlehardcider/,https://maps.google.com/?cid=2497160029912775288,Michigan,United States,Active,43.027811,-85.371348
43,Phillips Orchards & Cider Mill,Phillips Orchards & Cider Mill,0,,https://glintcap.org/phillips-ciders,0,1,14,6,21,2019,2023,4,https://glintcap.org/phillips-ciders,http://www.phillipsorchards.com/,https://www.facebook.com/PhillipsOrchards,https://www.instagram.com/phillipsorchards/,https://maps.google.com/?cid=7103527741412567137,Michigan,United States,Active,43.1177,-84.563483
44,Pux Cider,Pux Cider,0,,https://glintcap.org/pux-cider,1,3,13,11,28,2016,2023,7,https://glintcap.org/pux-cider,http://puxcider.com/,https://www.facebook.com/puxcider,https://www.instagram.com/puxcider/,https://www.google.com/maps?cid=16702208274441786920,Michigan,United States,Active,42.9683341,-85.640274
46,Robinette Cellars,Robinette Cellars,0,,https://glintcap.org/robinette-cellars,0,1,13,23,37,2006,2021,13,https://glintcap.org/robinette-cellars,https://robinettes.com/,https://www.facebook.com/Robinettes,https://www.instagram.com/robinettesapplehaus/,https://maps.google.com/?cid=5234107093392955640,Michigan,United States,Active,43.027537,-85.592264
48,Cascade Winery & Sierra Rose Ciders,Cascade Winery & Sierra Rose Ciders,0,,https://glintcap.org/cascade-winery,0,1,5,4,10,2005,2023,6,https://glintcap.org/cascade-winery,http://www.sierrarosewinery.com/,https://www.facebook.com/sierrarosewinery,,https://maps.google.com/?cid=15952962754429138350,Michigan,United States,Active,42.878915,-85.562785
49,Spicer's Winery,Spicer's Winery,0,,https://glintcap.org/spicers-winery,0,1,5,11,17,2009,2016,7,https://glintcap.org/spicers-winery,http://www.spicerorchards.com/,https://www.facebook.com/SpicerOrchards,https://www.instagram.com/spicerorchards/,https://maps.google.com/?cid=3119499086024195213,Michigan,United States,Active,42.677486,-83.751844
50,St. Ambrose Cellars,St. Ambrose Cellars,0,,https://glintcap.org/st-ambrose-cellars,0,0,4,3,7,2015,2016,2,https://glintcap.org/st-ambrose-cellars,https://www.stambrose-mead-wine.com/,https://www.facebook.com/stambrosecellars,https://www.instagram.com/stambrosecellars/,https://maps.google.com/?cid=15684792512273738710,Michigan,United States,Active,44.618196,-85.998147
51,St. Julian Winery,St. Julian Winery,0,,https://glintcap.org/forbidden-fruit-cider,0,0,2,4,6,2015,2019,3,https://glintcap.org/forbidden-fruit-cider,http://www.stjulian.com/,https://www.facebook.com/StJulianWinery,https://www.instagram.com/stjulianwinery/,https://maps.google.com/?cid=2249622530303383968,Michigan,United States,Active,42.212252,-85.891725
52,Starcut Ciders,Starcut Ciders,0,,https://glintcap.org/starcut-ciders,4,4,22,24,54,2015,2023,8,https://glintcap.org/starcut-ciders,http://starcutciders.com/,https://www.facebook.com/starcutcidersmi,https://www.instagram.com/starcutciders/,https://maps.google.com/?cid=2440791440580754774,Michigan,United States,Active,44.976269,-85.210357
53,Suttons Bay Ciders,Suttons Bay Ciders,0,,https://glintcap.org/suttons-bay-ciders,2,0,9,10,21,2017,2023,5,https://glintcap.org/suttons-bay-ciders,http://suttonsbayciders.com/,https://www.facebook.com/SuttonsBayCiders,https://www.instagram.com/suttonsbayciders/,https://maps.google.com/?cid=15136373870466556438,Michigan,United States,Active,44.905766,-85.643616
54,Tandem Ciders,Tandem Ciders,0,,https://glintcap.org/tandem-ciders,5,8,49,19,81,2009,2023,13,https://glintcap.org/tandem-ciders,http://www.tandemciders.com/,https://www.facebook.com/TandemCiders/,https://www.instagram.com/tandemciders/,https://maps.google.com/?cid=17873533731324152260,Michigan,United States,Active,45.011335,-85.659757
55,Texas Corners Brewing Company,Texas Corners Brewing Company,0,,https://glintcap.org/texas-corners-brewing-co,0,0,4,1,5,2017,2018,2,https://glintcap.org/texas-corners-brewing-co,http://texascornersbrewing.com/,https://www.facebook.com/TexasCornersBrewingCompany,https://www.instagram.com/texascornersbrewing/,https://maps.google.com/?cid=9884252459046416182,Michigan,United States,Active,42.202294,-85.686559
58,Thornapple Brewing Company,Thornapple Brewing Company,0,,https://glintcap.org/thornapple-brewing-company,0,2,8,12,22,2017,2023,6,https://glintcap.org/thornapple-brewing-company,http://www.thornapplebrewing.com/,https://www.facebook.com/ThornappleBrewingCompany,https://www.instagram.com/thornapplebrewing/,https://maps.google.com/?cid=9646788014435304722,Michigan,United States,Active,42.912347,-85.512693
59,Townline Ciderworks,Townline Ciderworks,0,,https://glintcap.org/townline-ciderworks,0,2,14,6,22,2017,2023,5,https://glintcap.org/townline-ciderworks,https://www.townlineciderworks.com/,https://www.facebook.com/TownlineCiderworks,https://www.instagram.com/townlineciderworks/,https://www.google.com/maps?cid=10669443199270117297,Michigan,United States,Active,44.863802,-85.422672
61,Uncle John's,Uncle John's,0,,https://glintcap.org/uncle-johns,19,28,91,73,211,2005,2023,17,https://glintcap.org/uncle-johns,https://www.ujcidermill.com/,https://www.facebook.com/UJCiderMill,https://www.instagram.com/unclejohns_cidermill/,https://maps.google.com/?cid=16260144443906622289,Michigan,United States,Active,43.112648,-84.561921
62,Vander Mill,Vander Mill,0,,https://glintcap.org/vander-mill,2,10,47,34,93,2008,2023,14,https://glintcap.org/vander-mill,http://vandermill.com/,https://www.facebook.com/VanderMillGR,https://www.instagram.com/vandermill/,https://maps.google.com/?cid=6214407049389872858,Michigan,United States,Active,42.971697,-85.630719
63,Virtue Cider,Virtue Cider,0,,https://glintcap.org/virtue-cider,1,5,38,24,68,2013,2023,10,https://glintcap.org/virtue-cider,http://www.virtuecider.com/,https://www.facebook.com/virtuecider,https://www.instagram.com/virtuecider/,https://maps.google.com/?cid=8731167836057791034,Michigan,United States,Active,42.57688,-86.15187
64,Westview Orchards & Winery,Westview Orchards & Winery,0,,https://glintcap.org/westview-orchards-winery,0,0,0,1,1,2019,2019,1,https://glintcap.org/westview-orchards-winery,https://www.westviewproduce.com/,https://www.facebook.com/WestviewOrchards,https://www.instagram.com/westvieworchards/,https://maps.google.com/?cid=15618716970399132431,Michigan,United States,Active,42.772653,-83.018539
66,2 Fools Cider,2 Fools Cider,0,,https://glintcap.org/2-fools-cider,0,2,1,2,5,2019,2021,2,https://glintcap.org/2-fools-cider,,,,,Illinois,United States,Inactive,41.775847,-88.188785
