Source,Target,Short_Name,CG_URL,URL,Producer,Status,WID,State_Province,Country,Table_Shortcode,Best in Class,Gold,Silver,Bronze,Total,First,Last,Years
https://glintcap.org/lehmans-orchards,https://glintcap.org/results/commercial/medalists/lehmans-orchards/,lehmans-orchards,https://ciderguide.com/glintcap/lehmans-orchards/,,Lehman's Orchards,Active,31,Michigan,United States,"[table id=9 filter=""Lehman's Orchards"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,3,1,4,2009,2011,2
https://glintcap.org/meckleys-cidery,https://glintcap.org/results/commercial/medalists/meckleys-cidery/,meckleys-cidery,https://ciderguide.com/glintcap/meckleys-cidery/,http://flavorfruitfarm.com/,Meckley's Cidery,Active,34,Michigan,United States,"[table id=9 filter=""Meckley's Cidery"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,4,15,19,2013,2016,4
https://glintcap.org/northern-natural-winery,https://glintcap.org/results/commercial/medalists/northern-natural-winery/,northern-natural-winery,https://ciderguide.com/glintcap/northern-natural-winery/,http://www.northernnaturalwinery.com/,Northern Natural Cider House & Winery,Active,37,Michigan,United States,"[table id=9 filter=""Northern Natural Cider House & Winery"" filter_full_cell_match=true hide_columns=""3"" /]",0,2,3,6,11,2013,2017,5
https://glintcap.org/northville-winery-and-brewing-company,https://glintcap.org/results/commercial/medalists/northville-winery-and-brewing-company/,northville-winery-and-brewing-company,https://ciderguide.com/glintcap/northville-winery-and-brewing-company/,http://www.thenorthvillewinery.com/,Northville Winery and Brewing Company,Active,38,Michigan,United States,"[table id=9 filter=""Northville Winery and Brewing Company"" filter_full_cell_match=true hide_columns=""3"" /]",4,4,28,29,65,2008,2023,14
https://glintcap.org/ore-creek-craft-ciders,https://glintcap.org/results/commercial/medalists/ore-creek-craft-ciders/,ore-creek-craft-ciders,https://ciderguide.com/glintcap/ore-creek-craft-ciders/,https://orecreekmi.com/,Ore Creek Craft Cider,Active,39,Michigan,United States,"[table id=9 filter=""Ore Creek Craft Cider"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,1,4,5,2022,2023,2
https://glintcap.org/painted-turtle-hard-cider,https://glintcap.org/results/commercial/medalists/painted-turtle-hard-cider/,painted-turtle-hard-cider,https://ciderguide.com/glintcap/painted-turtle-hard-cider/,http://www.paintedturtlehardcider.com/,Painted Turtle Hard Cider,Active,40,Michigan,United States,"[table id=9 filter=""Painted Turtle Hard Cider"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,2,3,5,2017,2021,2
https://glintcap.org/phillips-ciders,https://glintcap.org/results/commercial/medalists/phillips-ciders/,phillips-ciders,https://ciderguide.com/glintcap/phillips-ciders/,http://www.phillipsorchards.com/,Phillips Orchards & Cider Mill,Active,43,Michigan,United States,"[table id=9 filter=""Phillips Orchards & Cider Mill"" filter_full_cell_match=true hide_columns=""3"" /]",0,1,14,6,21,2019,2023,4
https://glintcap.org/pux-cider,https://glintcap.org/results/commercial/medalists/pux-cider/,pux-cider,https://ciderguide.com/glintcap/pux-cider/,http://puxcider.com/,Pux Cider,Active,44,Michigan,United States,"[table id=9 filter=""Pux Cider"" filter_full_cell_match=true hide_columns=""3"" /]",1,3,13,11,28,2016,2023,7
https://glintcap.org/robinette-cellars,https://glintcap.org/results/commercial/medalists/robinette-cellars/,robinette-cellars,https://ciderguide.com/glintcap/robinette-cellars/,https://robinettes.com/,Robinette Cellars,Active,46,Michigan,United States,"[table id=9 filter=""Robinette Cellars"" filter_full_cell_match=true hide_columns=""3"" /]",0,1,13,23,37,2006,2021,13
https://glintcap.org/cascade-winery,https://glintcap.org/results/commercial/medalists/cascade-winery/,cascade-winery,https://ciderguide.com/glintcap/cascade-winery/,http://www.sierrarosewinery.com/,Cascade Winery & Sierra Rose Ciders,Active,48,Michigan,United States,"[table id=9 filter=""Cascade Winery & Sierra Rose Ciders"" filter_full_cell_match=true hide_columns=""3"" /]",0,1,5,4,10,2005,2023,6
https://glintcap.org/spicers-winery,https://glintcap.org/results/commercial/medalists/spicers-winery/,spicers-winery,https://ciderguide.com/glintcap/spicers-winery/,http://www.spicerorchards.com/,Spicer's Winery,Active,49,Michigan,United States,"[table id=9 filter=""Spicer's Winery"" filter_full_cell_match=true hide_columns=""3"" /]",0,1,5,11,17,2009,2016,7
https://glintcap.org/st-ambrose-cellars,https://glintcap.org/results/commercial/medalists/st-ambrose-cellars/,st-ambrose-cellars,https://ciderguide.com/glintcap/st-ambrose-cellars/,https://www.stambrose-mead-wine.com/,St. Ambrose Cellars,Active,50,Michigan,United States,"[table id=9 filter=""St. Ambrose Cellars"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,4,3,7,2015,2016,2
https://glintcap.org/forbidden-fruit-cider,https://glintcap.org/results/commercial/medalists/forbidden-fruit-cider/,forbidden-fruit-cider,https://ciderguide.com/glintcap/forbidden-fruit-cider/,http://www.stjulian.com/,St. Julian Winery,Active,51,Michigan,United States,"[table id=9 filter=""St. Julian Winery"" filter_full_cell_match=true hide_columns=""3"" /]",0,0,2,4,6,2015,2019,3
https://glintcap.org/starcut-ciders,https://glintcap.org/results/commercial/medalists/starcut-ciders/,starcut-ciders,https://ciderguide.com/glintcap/starcut-ciders/,http://starcutciders.com/,Starcut Ciders,Active,52,Michigan,United States,"[table id=9 filter=""Starcut Ciders"" filter_full_cell_match=true hide_columns=""3"" /]",4,4,22,24,54,2015,2023,8
https://glintcap.org/suttons-bay-ciders,https://glintcap.org/results/commercial/medalists/suttons-bay-ciders/,suttons-bay-ciders,https://ciderguide.com/glintcap/suttons-bay-ciders/,http://suttonsbayciders.com/,Suttons Bay Ciders,Active,53,Michigan,United States,"[table id=9 filter=""Suttons Bay Ciders"" filter_full_cell_match=true hide_columns=""3"" /]",2,0,9,10,21,2017,2023,5
