ID,Style,Award,Medalist,Entry
86,Botanical,🥉 Judges' Pick,Channel Marker Cider,Lavender Bergamot
87,Botanical,🥉 Judges' Pick,Diskin Cider,Mayor Berry
88,Botanical,🥉 Judges' Pick,St. Vrain Cidery,Blackberry Botanical
89,Hopped,🏆 Platinum,1911 Established,New England IPC Hopped
90,Hopped,🥇🥇 Double Gold,Union Hill Cider Co.,Hopped & Hazy
91,Hopped,🥇 Gold,Runcible Cider,Hop Y'all
92,Hopped,🥇 Gold,Threadbare Cider and Mead,Dry Hopped
93,Hopped,🥈 Silver,SLO Cider Co.,Hopped
94,Hopped,🥉 Judges' Pick,Duluth Cider,Greenstone
95,Hopped,🥉 Judges' Pick,Jack's Hard Cider,Dry Hopped
96,Hopped,🥉 Judges' Pick,Threadbare Cider and Mead,Sweet Raspberry
97,Spiced,🏆 Platinum,Big B's Hard Cider,Snow Daze
98,Spiced,🥇🥇 Double Gold,Cider Corps,Operation Strawberry Rhubarb Pie
99,Spiced,🥇 Gold,Black Apple,Spiced
100,Spiced,🥇 Gold,Offset Ciderworks,Horchata
101,Spiced,🥈 Silver,Tieton Cider Works,Cranberry Cider
102,Spiced,🥉 Judges' Pick,Bend Cider Co.,Huckleberry Ginger
103,Spiced,🥉 Judges' Pick,St. Vrain Cidery,Gingerbread
104,Spiced,🥉 Judges' Pick,Finnriver Farm & Cidery,Forest Ginger
105,Sour,🏆 Platinum,Old Snapper's Hard Cider,Sour Cherry
106,Sour,🥇🥇 Double Gold,Yankee Cider Company,Wild Fermented Reposado Barrel Aged
107,Sour,🥇 Gold,1911 Established,Sour Cherry
108,Sour,🥈 Silver,Botanist and Barrel,Sour
109,Sour,🥉 Judges' Pick,101 Cider House,Scrumpy
110,Sour,🥉 Judges' Pick,Fable Farm Fermentory,Vinous Venus
111,Specialty,🏆 Platinum,Liquid Alchemy Ciderworks,Deeply-Rooted
112,Specialty,🥇🥇 Double Gold,Thor's Hard Cider,Oh My Gourd
113,Specialty,🥇 Gold,Rootwood Cider Company,Pollinator
114,Specialty,🥈 Silver,Channel Marker Cider,Honey Badger Cyser
115,Specialty,🥉 Judges' Pick,Champlain Orchards,Mac & Maple
116,Specialty,🥉 Judges' Pick,Cider Corps,C-Bees
117,Specialty,🥉 Judges' Pick,Cider Corps,Sailor Cherry
118,Dessert/Fortified,🏆 Platinum,Castle Hill Cider,1764 Port
119,Dessert/Fortified,🥇🥇 Double Gold,Two K Farms,2018 Ice Cider
120,Dessert/Fortified,🥇 Gold,Russell Orchards Farm & Winery,J's Ice Cider
121,Dessert/Fortified,🥈 Silver,Dragon's Head Cider,Pommeau
122,Dessert/Fortified,🥉 Judges' Pick,Loch Mór Cider Company,Pommeau
123,Dessert/Fortified,🥉 Judges' Pick,Old Snapper's Hard Cider,Yeti
124,Dessert/Fortified,🥉 Judges' Pick,Wise Bird Cider Co.,Pommeau
