ID,WID,Year,Style,Award,Medalist,Entry,Region,Style Group
647,550,2023,Tropical,🏆 Platinum,Schilling Cider,Big Zesty,Washington,Fruit
648,67,2023,Tropical,🥇🥇 Double Gold,2 Towns Ciderhouse,Tropical Cosmic Crisp,Oregon,Fruit
649,10,2023,Tropical,🥇🥇 Double Gold,Blake's Hard Cider Co.,Tropicolada,Michigan,Fruit
650,294,2023,Tropical,🥇 Gold,Glacial Till Vineyard & Winery,Passion Pineapple,Nebraska,Fruit
651,99,2023,Tropical,🥈 Silver,Artifact Cider Project,Juhu Beach,Massachusetts,Fruit
652,449,2023,Tropical,🥈 Silver,North Canyon Cider Company,Pineapple Ginger,California,Fruit
653,10,2023,Tropical,👍 Judges' Pick,Blake's Hard Cider Co.,Passion Seeker,Michigan,Fruit
654,553,2023,Tropical,👍 Judges' Pick,Seattle Cider Company,Pineapple Agave,Washington,Fruit
655,314,2023,Tropical,👍 Judges' Pick,Hale & True Cider Co.,POGA,Pennsylvania,Fruit
656,67,2023,Hopped,🏆 Platinum,2 Towns Ciderhouse,Hip Hops,Oregon,Hopped
657,432,2023,Hopped,🥇🥇 Double Gold,Mountain West Cider Company,Pomme Paloma Pink Boots Collab,Utah,Hopped
658,118,2023,Hopped,🥇 Gold,Bauman's Cider,Idaho 7,Oregon,Hopped
659,2181,2023,Hopped,🥈 Silver,Ponderosa Cider Co.,Hopricot,California,Hopped
660,324,2023,Hopped,👍 Judges' Pick,Hazlitt 1852 Vineyards,Cider Tree with Citra Hops,New York,Hopped
661,432,2023,Hopped,👍 Judges' Pick,Mountain West Cider Company,Cottonwood,Utah,Hopped
662,294,2023,Hopped,👍 Judges' Pick,Glacial Till Vineyard & Winery,Hoppy Fruits,Nebraska,Hopped
663,133,2023,Botanical,🏆 Platinum,Black Apple Hard Cider,Hibiscus,Arkansas,Botanical & Spiced
664,1084,2023,Botanical,🥇🥇 Double Gold,19 Acres Cider Co.,Strawberry Hibiscus,Oregon,Botanical & Spiced
665,947,2023,Botanical,🥇 Gold,Beach Bee Meadery,Apricot Sage,New Jersey,Botanical & Spiced
666,1084,2023,Botanical,🥈 Silver,19 Acres Cider Co.,Cherry Rose,Oregon,Botanical & Spiced
667,635,2023,Botanical,👍 Judges' Pick,Tieton Cider Works,Lavender Honey,Washington,Botanical & Spiced
668,348,2023,Botanical,👍 Judges' Pick,Ironbark Ciderworks,Duchess,California,Botanical & Spiced
669,88,2023,Botanical,👍 Judges' Pick,Anna's Cider,Rosé,California,Botanical & Spiced
670,294,2023,Specialty,🏆 Platinum,Glacial Till Vineyard & Winery,Strawberry Rhubarb,Nebraska,Specialty
671,294,2023,Specialty,🥇🥇 Double Gold,Glacial Till Vineyard & Winery,Chocolate Covered Strawberry,Nebraska,Specialty
672,490,2023,Specialty,🥇 Gold,Portland Cider Company,Holy Habanero,Oregon,Specialty
673,188,2023,Specialty,🥈 Silver,Champlain Orchards,Larrabee,Vermont,Specialty
674,1757,2023,Specialty,👍 Judges' Pick,Odd Brothers Craft Cider,Sunday Sour,Michigan,Specialty
675,88,2023,Specialty,👍 Judges' Pick,Anna's Cider,Cucumber Ginger,California,Specialty
676,635,2023,Specialty,👍 Judges' Pick,Tieton Cider Works,Sour Watermelon,Washington,Specialty
677,2208,2023,Cocktail-Inspired,🏆 Platinum,Soundbite Hard Cider,La Paloma,Washington,Cocktail-Inspired
678,550,2023,Cocktail-Inspired,🥇🥇 Double Gold,Schilling Cider,Mountain Mule,Washington,Cocktail-Inspired
679,118,2023,Cocktail-Inspired,🥇 Gold,Bauman's Cider,Strawberry Mojito,Oregon,Cocktail-Inspired
680,957,2023,Cocktail-Inspired,🥈 Silver,Yonder Cider,Coulee,Washington,Cocktail-Inspired
681,957,2023,Cocktail-Inspired,👍 Judges' Pick,Yonder Cider,Velvet Cashmere,Washington,Cocktail-Inspired
682,490,2023,Cocktail-Inspired,👍 Judges' Pick,Portland Cider Company,Lemon Drop,Oregon,Cocktail-Inspired
683,75,2023,Cocktail-Inspired,👍 Judges' Pick,1911 Established,Sangria,New York,Cocktail-Inspired
