COUNTA of Award,Award,col2,col3,col4,col5,col6,col7
Year,🏆 Platinum,👍 Judges' Pick,🥇 Gold,🥇🥇 Double Gold,🥈 Silver,🥉 Bronze,Grand Total
2017,,39,13,13,13,13,91
2018,,42,17,14,14,17,104
2019,,45,18,15,18,16,112
2020,18,44,19,20,22,,123
2022,17,51,21,18,17,,124
2023,22,57,23,25,23,,150
2024,25,42,28,26,26,,147
Grand Total,82,320,139,131,133,46,851
