Year,🏆 Platinum,🥇🥇 Double Gold,🥇 Gold,🥈 Silver,🥉 Bronze,👍 Judges' Pick,Total
2017,---,13,13,13,13,39,91
2018,---,14,17,14,17,42,104
2019,---,15,18,18,16,45,112
2020,18,20,19,22,---,44,123
2022,17,18,21,17,---,51,124
2023,22,25,23,23,---,57,150
2024,25,26,28,26,---,42,147
Total,82,131,139,133,46,320,851
