Class,Medal,Producer,Product,Origin
Tannic Cider Class 1.1,Gold,Pulpt,Union,"Hewish, Somerset, England"
Tannic Cider Class 1.1,Silver,Hogan's Cider,Killer Sharp,"Haselor, Warwickshire, England"
Tannic Cider Class 1.1,Bronze,Angry Orchard Cider Company,BitterSteve (2017),"Walden, New York, USA"
Tannic Cider Class 1.2,Gold,Sheppy's Cider,Sheppy's 200 Special Edition Cider,"Somerset, England"
Tannic Cider Class 1.2,Silver,Celtic Marches,Thundering Molly,"Bishops Frome, Herefordshire, England"
Tannic Cider Class 1.2,Bronze,Aspalls Cyder,Peacock Apple Cider,"Stowmarket, Suffolk, England"
Tannic Cider Class 1.3,Gold,Hogan's Cider,Libertine,"Haselor, Warwickshire, England"
Tannic Cider Class 1.3,Silver,Shepherd Neame Ltd,Cidre Demi-Sec,"Hastings, New Zealand"
Modern Cider 2.1,Gold,Ramborn Cider Co,Ramborn Farmhouse Dry Cider,"Born, Luxembourg"
Modern Cider 2.1,Silver,North Canyon Cider Company,Dry,"Camino, California, USA"
Modern Cider 2.2,Gold,Sheppy's Cider,Sheppy's Classic Draught Cider,"Somerset, England"
Modern Cider 2.2,Silver,Militsa Apple Cider,Militsa Premium Apple Cider,"Farmakas, Cyprus"
Modern Cider 2.2,Bronze,Ramborn Cider Co,Ramborn Original Medium Dry Cider,"Born, Luxembourg"
Modern Cider 2.3,Gold,Caledonia Cider Ltd,Lost Orchards No. 1,"Dundee, Scotland"
Modern Cider 2.3,Silver,North Canyon Cider Company,American Sweet,"Camino, California, USA"
Modern Cider 2.3,Bronze,Heineken,Strongbow Gold Apple,"Aubel, Belgium"
Spanish Cider 3.1,Gold,Angry Orchard Cider Company,Edu (2016),"Walden, New York, USA"
Spanish Cider 3.1,Silver,Angry Orchard Cider Company,Edu (2017),"Walden, New York, USA"
Perry Cider Traditional Class 4.1,Gold,Ramborn Cider Co,Ramborn Perry,"Born, Luxembourg"
Perry Cider Traditional Class 4.1,Silver,Hogan's Cider,Vintage Perry 2017,"Haselor, Warwickshire, England"
Perry Cider Modern Class 4.2,Gold,Sidewood Estate,Sidewood Estate Pear Cider,"Naime, Australia"
Fruit Flavoured - Herbs & Spices Class 5.1,Gold,Mosterei Möhl AG,Cider Clan - Punsch Apple Cider,"Arbon, Switzerland"
Fruit Flavoured - Herbs & Spices Class 5.1,Silver,The Cotswold Cider Company Ltd,Blowhorn Chai-Spice Cider,The Cotswold Cider Company Ltd
Fruit Flavoured - Fruits & Flowers Class 5.2,Gold,Stonewell Cider/Finnbarra Cider,Stonewell Rós,"Cork, Ireland"
Fruit Flavoured - Fruits & Flowers Class 5.2,Silver,Hogan's Cider,Wild Elder,"Haselor, Warwickshire, England"
Fruit Flavoured - Fruits & Flowers Class 5.2,Bronze,Good George Brewing,Good George Scarlett Peach Cider,"Hamilton, New Zealand"
Hopped Cider Class 6.1,Silver,Ramborn Cider Co,Ramborn Cascade Hopped Cider,"Born, Luxembourg"
Iced Cider Class 7,Gold,Angry Orchard Cider Company,Dear Eleanor,"Walden, New York, USA"
Low Alcohol Cider Class 8.1,Gold,Sheppy's Cider,Sheppy's Low Alcohol Classic Cider,"Somerset, England"
Low Alcohol Cider Class 8.1,Silver,Westons Cider,Stowford Press Low Alcohol Cider,"Much Marcle, Herefordshire, England"
Low Alcohol Cider Class 8.1,Bronze,Junginger Fruchtsäfte GmbH & Co KG,Apple Cider,"Niederstotzingen, Germany"
Open Class Cider Class 9.1,Gold,Stonewell Cider/Finnbarra Cider,Tawny,"Cork, Ireland"
Open Class Cider Class 9.1,Silver,Angry Orchard Cider Company,Understood in Motion 01,"Walden, New York, USA"
Open Class Cider Class 9.1,Bronze,Ramborn Cider Co,Ramborn Bourbon Barrel Aged Still Cider,"Born, Luxembourg"
