Class,Medal,Producer,Product,Origin
Tannic Cider Class 1.1 (3% – 8.5% abv) <1005 gravity,Gold,Sheppy's Cider,Sheppy's Vintage Cloudy Cider,"Taunton, Somerset, England"
Tannic Cider Class 1.1 (3% – 8.5% abv) <1005 gravity,Silver,Kilmegan Cider,"Kilmegan ""Real"" Cider","Newcastle, County Down, Northern Ireland"
Tannic Cider Class 1.2 (3% – 8.5% abv) 1005 – 1015 gravity,Gold,Sandford Orchards,Sandford Reserve,"Crediton, Devon, England"
Tannic Cider Class 1.2 (3% – 8.5% abv) 1005 – 1015 gravity,Silver,Hewletts Mill,Hewletts Mill Stone Broke 2020 Vintage Cider,"Yeovil, Somerset, England"
Tannic Cider Class 1.2 (3% – 8.5% abv) 1005 – 1015 gravity,Bronze,St Ives Cider,St Ives Cider Farmhouse,"St Ives, Cornwall, England"
Tannic Cider Class 1.3 (3% – 8.5% abv) >1015 gravity,Silver,Sheppy's Cider,Sheppy's 200 Cider,"Taunton, Somerset, England"
Modern Cider Class 2.1 (3% – 8.5% abv) <1005 gravity,Gold,Riley's Cidery,Sip & Tell- Single Varietal Mac Cider,"Bowen Island, BC, Canada"
Modern Cider Class 2.1 (3% – 8.5% abv) <1005 gravity,Silver,Kniveton Cider Company,Scorchio!,"Ashbourne, England"
Modern Cider Class 2.1 (3% – 8.5% abv) <1005 gravity,Bronze,Shanghai Witchcraft Brewing Co,Newtonian Fluid Apple Cider,"Shanghai, China"
Modern Cider Class 2.2 (3% – 8.5% abv) 1005 – 1015 gravity,Gold,Bauman's Cider Company,McIntosh Single Varietal,"Gervais, Oregon, USA"
Modern Cider Class 2.2 (3% – 8.5% abv) 1005 – 1015 gravity,Silver,Ramborn Cider S.A.,Rambourn Original,"Born, Luxembourg"
Modern Cider Class 2.2 (3% – 8.5% abv) 1005 – 1015 gravity,Bronze,Thatchers Cider,Thatchers Cox's,"Sandford, Somerset, England"
Modern Cider Class 2.3 (3% – 8.5% abv) >1015 gravity,Silver,DÜRR Fruchtsaftkellerei & Getränkevertrieb GmbH,Rohrspatz Cider,"Black Forest, Germany"
Bottle Fermented Cider Class 3 (3% – 8.5% abv),Gold,Angry Orchard,Newtown Pippin Traditional Method,"New York, USA"
Perry Cider- Class 4 (3% – 8.5% abv),Gold,Sheppy's Cider,Sheppy's Vintage Perry,"Taunton, Somerset, England"
Perry Cider- Class 4 (3% – 8.5% abv),Silver,DÜRR Fruchtsaftkellerei & Getränkevertrieb GmbH,Rohrspatz,"Black Forest, Germany"
Perry Cider- Class 4 (3% – 8.5% abv),Bronze,Sidewood Estate,Pear Cider,"Oakbank, SA, Australia"
Fruit Flavoured Cider- Berries Class 5.1 (3% – 8.5% abv),Gold,Sidewood Estate,Strawberry Apple Cider,"Oakbank, SA, Australia"
Fruit Flavoured Cider- Berries Class 5.1 (3% – 8.5% abv),Silver,Cornish Orchards,Cornish Orchards Blush Berry Cider,"Westnorth Manor Farm, Cornwall, England"
Fruit Flavoured Cider- Berries Class 5.1 (3% – 8.5% abv),Bronze,Groupe de Courtage Omni,Cidrerie Beaupré Bleuet,"Laval, QC, Canada"
Fruit Flavoured Cider -Other Fruits & Flowers Class 5.2 (3% – 8.5% abv),Gold,Ramborn Cider S.A.,Ramborn Garden Elderflower,"Born, Luxembourg"
Cider with Botanicals - Class 6 (3% – 8.5% abv),Gold,Hogan's Cider Ltd,Hogan's Cider Hip Hop,"Warwickshire, England"
Cider with Botanicals - Class 6 (3% – 8.5% abv),Silver,Kelterei Heil OHG,Cooper's Cider Dry Hopped,"Laubus-Eschbach, Germany"
Rosé Cider - Class 7 (3% – 8.5% abv),Gold,Redwood Cider Co,Orchard Thieves,"Nelson, New Zealand"
Rosé Cider - Class 7 (3% – 8.5% abv),Silver,Tennent Caledonian Breweries,Magners Rose Cider,Ireland
Ice Cider - Class 8 (3% – 15% abv),Gold,Ramborn Cider S.A.,Rambourn Ice Perry,"Born, Luxembourg"
No & Low Cider and Perry - Class 9 (0.5% – <2.9% abv),Gold,Drynks Unlimited Ltd,Smashed Cider,"Herefordshire, England"
No & Low Cider and Perry - Class 9 (0.5% – <2.9% abv),Silver,Stonewell Cider,Stonewell Non-Alcoholic,Ireland
No & Low Cider and Perry - Class 9 (0.5% – <2.9% abv),Bronze,Moehl Easy Apple Cider,Mosterei Moehl AG,"Arbon, Switzerland"
Open Class - Class 10 (3% – 22% abv),Gold,Manuel Busto Amandi S.A. (Sidra Mayador),Natural Cider M.Busto,"Villaciosa, Asturias, Spain"
Open Class - Class 10 (3% – 22% abv),Silver,"Son of the Smith Co., Ltd",Son of the Smith BARREL LAUNDERING,"Nagano, Japan"
Open Class - Class 10 (3% – 22% abv),Bronze,Angry Orchard X Artifact Cider,Understood in Motion 4,"New York & Massachusetts, USA"
