Class,Medal,Producer,Product,Origin
1.1 for Cider Apple Class Dry,Gold,Heineken International,Strongbow British Dry,"Stassen, Belgium"
1.1 for Cider Apple Class Dry,Silver,Hedgerow Cidery,Blue Butterfly Cider,"Oregon, USA"
1.1 for Cider Apple Class Dry,Bronze,Les Celliers Associes,Cote Breton Brut,"Brittany, France"
1.2 for Cider Apple Class Medium,Gold,Cornish Orchards,Gold,"Cornwall, UK"
1.2 for Cider Apple Class Medium,Silver,H Weston & Sons Ltd,Wyld Wood Organic Cider,"Herefordshire, UK"
1.2 for Cider Apple Class Medium,Bronze,Cornish Orchards,Heritage,"Cornwall, UK"
1.3 for Cider Apple Class Sweet,Gold,Molson Coors,Carling British Cider,"Ledbury, UK"
1.3 for Cider Apple Class Sweet,Silver,Thatchers Cider Co Ltd,Old Rascal,"Somerset, UK"
2.2 Open Apple Class - Medium,Gold,Mac Ivors Cider Co,Traditional Dry Cider,"County Armagh, Northern Ireland"
2.2 Open Apple Class - Medium,Silver,Sheppy's Cider,Somerset Draught,"Somerset, UK"
2.2 Open Apple Class - Medium,Bronze,Woodchuck Craft Cider,Granny Smith,"Vermont, USA"
2.3 Open Apple Class Sweet,Gold,Vermont Hard Cider Coq,Amber,"Vermont, USA"
2.3 Open Apple Class Sweet,Silver,Australian Beer Company,Pressman's,"New South Wales, Australia"
2.3 Open Apple Class Sweet,Bronze,Heineken International,Strongbow Gold Apple,"Stassen, Belgium"
Category 3 for Flavoured Cider Class 3.5 - 7.5% ABV,Gold,Heineken International,Strongbow Honey,"Stassen, Belgium"
Category 3 for Flavoured Cider Class 3.5 - 7.5% ABV,Silver,Heineken International,Strongbow Ginger,"Stassen, Belgium"
Category 3 for Flavoured Cider Class 3.5 - 7.5% ABV,Bronze,Spendrups Bryggeri AB,Briska Flader,"Grangesberg, Sweden"
Category 4 for Low-Alcohol Cider Class 1.2 – 3.5% ABV,Bronze,Australian Beer Company,Pressman's Mild,"New South Wales, Australia"
Category 5 for Speciality Cider Class or Perry Class 1.2 – 8.5% ABV,Gold,Angry Orchard Cider Company,Angry Orchard The Muse,"Ohio, USA"
Category 5 for Speciality Cider Class or Perry Class 1.2 – 8.5% ABV,Silver,Aspall,2013 Vintage Imperial Cyder,"Suffolk, UK"
Category 5 for Speciality Cider Class or Perry Class 1.2 – 8.5% ABV,Bronze,Angry Orchard Cider Company,Angry Orchard Cinnful,"Ohio, USA"
