COUNTA of Medal,Medal,col2,col3,col4
Year,🥇 Gold,🥈 Silver,🥉 Bronze,Grand Total
2013,4,3,3,10
2015,7,7,7,21
2017,11,9,8,28
2019,14,13,7,34
2021,13,12,7,32
2024,13,12,7,32
Grand Total,62,56,39,157
