COUNTA of Award,Award,col2,col3,col4,col5,col6
Year,🏆 BEST IN CLASS,🏆 BEST OF SHOW,🥇 GOLD,🥈 SILVER,🥉 BRONZE,Grand Total
2023,,,19,13,8,40
2024,6,2,22,43,25,98
Grand Total,6,2,41,56,33,138
