Year,Style,Medal,Medalist,Entry,Score,Town,Region,Country
2025,Hopped Cider,Gold,FIVE MAIDENS CIDER CO,GALACTIC CHARLIE GOES TO IDAHO,,,Pennsylvania,
2025,Hopped Cider,Silver,Bold Rock Hard Cider,IPA,,,Virginia,
2025,Hopped Cider,Silver,Bent Ladder Cidery,Hopped,,,Ohio,
2025,Hopped Cider,Bronze,FIVE MAIDENS CIDER CO,NECTARON CIDER,,,Pennsylvania,
2025,Apple Pie Spiced Cider,Gold,Country Boy Brewing,Gold Medal Apple Pie Cider,,,Kentucky,
2025,Apple Pie Spiced Cider,Gold,Sons of Toil Brewing,Spiced Apple Cider,,,Ohio,
2025,Apple Pie Spiced Cider,Silver,Cider Corps,American Apple Pie,,,Arizona,
2025,Apple Pie Spiced Cider,Bronze,Schilling Cider,Excelsior Imperial Apple Pie,,,Washington,
2025,Spiced Cider,Gold,Beach Bee Meadery,Bourbon Mango Hobanaro,,,New Jersey,
2025,Spiced Cider,Silver,Six Byrd Cider,Cranberry Spice,,,Arizona,
2025,Spiced Cider,Bronze,Arsenal Cider House,Snowbound Cinnamon,,,Pennsylvania,
2025,Wood-Aged Cider,Gold,Glacial Till,Blueberry Pancake,,,Nebraska,
2025,Wood-Aged Cider,Silver,Vala’s Orchard Cider Co.,Wild Meadow Reserve,,,Nebraska,
2025,Wood-Aged Cider,Bronze,FIVE MAIDENS CIDER CO,QUARTER HOOP,,,Pennsylvania,
2025,Specialty Cider and Perry,Gold,Glacial Till,Caramel Apple,,,Nebraska,
2025,Specialty Cider and Perry,Silver,Arsenal Cider House,Spicy Archibald,,,Pennsylvania,
2025,Specialty Cider and Perry,Bronze,Country Boy Brewing,Orange Cream Cider,,,Kentucky,
2025,Anything Goes,Gold,Gatlinburg Brewing Company,Bobbie Sue’s Blackberry Lemonade,,,Tennessee,
2025,Anything Goes,Silver,Brunswick Beer and Cider,Lavender Lemonade,,,North Carolina,
2025,Anything Goes,Bronze,Arsenal Cider House,Tropical Sour Cider,,,Pennsylvania,
2025,Anything Goes,Bronze,Papa Moon Ciders,Apollo Palmer,,,Nebraska,
2025,Single Varietal Cider,Gold,FIVE MAIDENS CIDER CO,Thornbury Craft Co. Honeycrisp Apple Cider – Thornbury Craft Co. – OntarioSILVER: BETTY,,,Pennsylvania,
2025,Single Varietal Cider,Bronze,Doc Waters Cidery,Golden Russet,,,Maryland,
2025,Pumpkin Spice Cider,Gold,Atlanta Hard Cider Co. & Distillery,Pumpkin Spice,,,Georgia,
2025,Pumpkin Spice Cider,Silver,Armageddon Brewing,Ichabod’s Bane,,,New Jersey,
2025,Pumpkin Spice Cider,Bronze,Arsenal Cider House,Grant’s Flying Pumpkin,,,Pennsylvania,
