ID,Year,Style,Medal,Medalist,Entry,WID,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2,2020,AOP Cidre Cotentin,🥇 Or,Cidre Lemasson,Cuvée Jazz sous les Pommiers 2018,2691,Active,"<a href=""https://www.cidre-lemasson.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrelemasson"">Facebook</a>","<a href=""https://www.instagram.com/cidrelemasson/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7632467116285948880"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g12634286-d6538652"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidre-lemasson/247290"">Untappd</a>"
3,2020,AOP Cidre Cotentin,🥇 Or,Cidre Lemasson,Extra-brut 2019,2691,Active,"<a href=""https://www.cidre-lemasson.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrelemasson"">Facebook</a>","<a href=""https://www.instagram.com/cidrelemasson/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7632467116285948880"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g12634286-d6538652"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidre-lemasson/247290"">Untappd</a>"
4,2020,AOP Cidre Cotentin,🥇 Or,Théo Capelle,Théo Capelle Brut 2019,1513,Active,"<a href=""https://www.theo-capelle.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100054206274447"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3221607950662529223"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g187183-d3406164"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-tha-c-o-capelle/124517"">Untappd</a>"
5,2020,AOP Cidre Cotentin,🥈 Argent,Cidrerie Claids,Claids Brut 2018,3317,Active,"<a href=""https://www.cidrerieclaids.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrerieclaids/"">Facebook</a>","<a href=""https://www.instagram.com/cidrerieclaids/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16896075272570280949"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-claids/541066"">Untappd</a>"
6,2020,AOP Cidre Cotentin,🥈 Argent,Cidrerie Claids,Claids Brut 2019,3317,Active,"<a href=""https://www.cidrerieclaids.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrerieclaids/"">Facebook</a>","<a href=""https://www.instagram.com/cidrerieclaids/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16896075272570280949"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-claids/541066"">Untappd</a>"
7,2020,AOP Cidre Cotentin,🥈 Argent,Ferme de la Commanderie,Ferme de la Commanderie Brut 2019,3319,Active,"<a href=""http://www.ferme-de-la-commanderie.fr/"">Website</a>","<a href=""https://www.facebook.com/CidrerieLaCommanderie"">Facebook</a>","<a href=""https://www.instagram.com/cidreriefermedelacommanderie"">Instagram</a>","<a href=""https://maps.google.com/?cid=2113479186577428756"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2407705-d10109503"">TripAdvisor</a>","<a href=""https://untappd.com/w/ferme-de-la-commanderie/233207"">Untappd</a>"
8,2020,AOP Cidre Cotentin,🥈 Argent,Les Vergers de la Passion,Les Vergers de la Passion - Petit Louis 2018,3553,Active,"<a href=""https://les-vergers-de-la-passion-cidrerie.fr/"">Website</a>","<a href=""https://www.facebook.com/LesVergersDeLaPassion.FermeCidricole/"">Facebook</a>","<a href=""https://www.instagram.com/lesvergersdelapassion/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9889208295960516000"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g13423894-d13413411"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-la-passion/468828"">Untappd</a>"
9,2020,AOP Cidre Cotentin,🥈 Argent,Les Vergers de la Passion,Les Vergers de la Passion Brut 2018,3553,Active,"<a href=""https://les-vergers-de-la-passion-cidrerie.fr/"">Website</a>","<a href=""https://www.facebook.com/LesVergersDeLaPassion.FermeCidricole/"">Facebook</a>","<a href=""https://www.instagram.com/lesvergersdelapassion/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9889208295960516000"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g13423894-d13413411"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-la-passion/468828"">Untappd</a>"
10,2020,AOP Cidre Cotentin,🥈 Argent,Maison Hérout,Hérout Cuvée tradition 2018,2140,Active,"<a href=""https://www.maisonherout.com/"">Website</a>","<a href=""https://www.facebook.com/cidres/"">Facebook</a>","<a href=""https://www.instagram.com/maisonherout/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1426598113576371976"">Google</a>",,"<a href=""https://untappd.com/w/m-a-herout/164919"">Untappd</a>"
11,2020,AOP Cidre Pays d'Auge,🥇 Or,Domaine de la Galotière,La Galotière 2019,1183,Active,"<a href=""https://www.lagalotiere.fr/"">Website</a>","<a href=""https://www.facebook.com/lagalotiere"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3334578271943351430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g608796-d12550194"">TripAdvisor</a>","<a href=""https://untappd.com/w/domaine-de-la-galotiere/38855"">Untappd</a>"
12,2020,AOP Cidre Pays d'Auge,🥇 Or,Ferme Cidricole Desvoye,Cuvée premières 2019,2161,Active,"<a href=""https://www.cidre-calvados-desvoye.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100015340218972"">Facebook</a>","<a href=""https://www.instagram.com/calvados_desvoye/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9466556986578009265"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g14010617-d21111014"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-desvoye/264267"">Untappd</a>"
13,2020,AOP Cidre Pays d'Auge,🥈 Argent,Manoir de Grandouet,Le Manoir de Grandouet - Cuvée réserve 2018,1376,Active,"<a href=""https://www.manoir-de-grandouet.fr/"">Website</a>","<a href=""https://www.facebook.com/grandval.fr/"">Facebook</a>","<a href=""https://www.instagram.com/manoirdegrandouet/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1664850146101306839"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g672825-d6994534"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18942"">Untappd</a>"
14,2020,Cidre du Pays de Caux,🥇 Or,Cidrerie Godefroy,Récolte 2019,1577,Active,"<a href=""https://www.ecomuseeducidre.fr/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=5707167707581907830"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1572450-d3428587"">TripAdvisor</a>","<a href=""https://untappd.com/w/vincent-et-marieclaire-godefroy/207560"">Untappd</a>"
15,2020,Cidre du Pays de Caux,🥈 Argent,Les Vergers du Quesnay,Les Vergers du Quesnay - Brut 2019,3370,Active,"<a href=""https://www.lesvergersduquesnay.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100058435991351"">Facebook</a>","<a href=""https://www.instagram.com/les_vergers_du_quesnay/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15904214834922492181"">Google</a>",,"<a href=""https://untappd.com/w/les-vergers-du-quesnay/228234"">Untappd</a>"
16,2020,Cidre du Perche,🥇 Or,Cidrerie Traditionnelle du Perche,L'Hermitière Brut 2019,1294,Active,"<a href=""http://www.cidrerie-traditionnelle-du-perche.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrerietraditionnelleduperche"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=4098308531613353726"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-traditionnelle-du-perche/28040"">Untappd</a>"
17,2020,Cidre du Perche,🥈 Argent,Cidrerie Traditionnelle du Perche,L'Hermitière - Demi-sec 2019,1294,Active,"<a href=""http://www.cidrerie-traditionnelle-du-perche.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrerietraditionnelleduperche"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=4098308531613353726"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-traditionnelle-du-perche/28040"">Untappd</a>"
18,2020,Cidre du Perche,🥈 Argent,Cidrerie Traditionnelle du Perche,L'Hermitière Brut 2019,1294,Active,"<a href=""http://www.cidrerie-traditionnelle-du-perche.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrerietraditionnelleduperche"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=4098308531613353726"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-traditionnelle-du-perche/28040"">Untappd</a>"
19,2020,Cidre du Perche,🥈 Argent,Cidrerie Traditionnelle du Perche,L'Hermitière Brut 2019,1294,Active,"<a href=""http://www.cidrerie-traditionnelle-du-perche.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrerietraditionnelleduperche"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=4098308531613353726"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-traditionnelle-du-perche/28040"">Untappd</a>"
20,2020,AOP Poiré Domfront,🥇 Or,Pacory,Pacory Ferme des Grimaux - Le Cadet 2019,1582,Active,"<a href=""https://www.pacory.eu/"">Website</a>","<a href=""https://www.facebook.com/PacoryFermedesGrimaux"">Facebook</a>","<a href=""https://www.instagram.com/pacoryfermedesgrimaux"">Instagram</a>","<a href=""https://maps.google.com/?cid=15821520734729613945"">Google</a>",,"<a href=""https://untappd.com/brewery/32360"">Untappd</a>"
21,2020,AOP Poiré Domfront,🥈 Argent,Famille Guesdon,La Cave Normande 2019,2697,Active,"<a href=""https://famille-guesdon.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100057212210806"">Facebook</a>","<a href=""https://www.instagram.com/lacavenormandeguesdon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13182761816105385497"">Google</a>",,"<a href=""https://untappd.com/w/guesdon-p-re-et-fils/343009"">Untappd</a>"
