Year,🥇 Or,🥈 Argent,🥉 Bronze,🏅 Total
2017,17,36,13,66
2018,22,26,9,57
2019,21,24,18,63
2020,8,24,22,54
2022,18,29,21,68
2023,18,25,19,62
2024,15,25,15,55
Total,119,189,117,425
