Region,🥇 Or,🥈 Argent,🥉 Bronze,🏅 Total
Brittany,71,105,59,235
Normandy,28,67,43,138
Pays de la Loire,14,11,8,33
Île-de-France,1,2,4,7
Centre-Val de Loire,1,2,2,5
Hauts-de-France,2,1,0,3
Grand Est,1,1,1,3
Auvergne-Rhône-Alpes,1,0,0,1
Total,119,189,117,425
