Medalist,Region,🥇 Or,🥈 Argent,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
La Maison du Cidre,Brittany,5,1,2,8,2017,2024,7,Active,"<a href=""https://www.museeducidre.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100054446516930"">Facebook</a>","<a href=""https://www.instagram.com/lamaisonducidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8243314023255302765"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g7221524-d7220846"">TripAdvisor</a>","<a href=""https://untappd.com/w/la-maison-du-cidre/360621"">Untappd</a>"
Le Clos des Citots,Normandy,3,2,3,8,2017,2023,5,Active,"<a href=""https://www.leclosdescitots.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066990398769"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3330784351320305206"">Google</a>",,"<a href=""https://untappd.com/w/le-clos-des-citots-gerard-lenormand/87074"">Untappd</a>"
Cidrerie de la Brique,Normandy,1,2,5,8,2019,2024,4,Active,"<a href=""https://cidreriedelabrique.com/"">Website</a>","<a href=""https://www.facebook.com/CidreriedelaBrique/"">Facebook</a>","<a href=""https://www.instagram.com/cidreriedelabrique/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7178427047416068956"">Google</a>",,"<a href=""https://untappd.com/CidreriedeLaBrique"">Untappd</a>"
Cidrerie La Ruaudaie,Brittany,3,4,0,7,2017,2023,3,Active,,"<a href=""https://www.facebook.com/Cidrerie.La.Ruaudaie"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=9093489147196571898"">Google</a>",,"<a href=""https://untappd.com/w/la-ruaudaie/92611"">Untappd</a>"
Ferme des Noës,Normandy,3,4,0,7,2017,2024,4,Active,"<a href=""https://www.fermedesnoes.com/"">Website</a>",,"<a href=""https://www.instagram.com/fermedesnoes/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16067236232754040277"">Google</a>",,"<a href=""https://untappd.com/w/ferme-des-no-s/72679"">Untappd</a>"
Cidrerie Huby,Brittany,3,3,1,7,2017,2022,4,Active,"<a href=""http://www.cidreriehuby.fr/"">Website</a>","<a href=""https://www.facebook.com/cidreriehuby35/"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_huby/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14757172260846963924"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-huby/351358"">Untappd</a>"
Loïc Raison,Brittany,2,3,2,7,2017,2023,4,Active,"<a href=""https://www.loicraison.fr/"">Website</a>","<a href=""https://www.facebook.com/CidreLoicRaison/"">Facebook</a>","<a href=""https://www.instagram.com/loicraison/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15768587504697904757"">Google</a>",,"<a href=""https://untappd.com/w/loic-raison/18640"">Untappd</a>"
Cidres Kerisac,Pays de la Loire,1,4,2,7,2017,2024,5,Active,"<a href=""https://kerisac.bzh/"">Website</a>","<a href=""https://www.facebook.com/cidrekerisac"">Facebook</a>","<a href=""https://www.instagram.com/cidreriekerisac/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14431639837198759734"">Google</a>",,"<a href=""https://untappd.com/w/cidres-kerisac/12846"">Untappd</a>"
Le Pressoir d'Or,Normandy,1,2,4,7,2018,2024,6,Active,"<a href=""http://www.pressoirdor.com/"">Website</a>",,"<a href=""https://www.instagram.com/lepressoirdor/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11174929092699381803"">Google</a>",,"<a href=""https://untappd.com/w/le-pressoir-d-or/210218"">Untappd</a>"
Distillerie des Menhirs,Brittany,0,4,3,7,2017,2024,5,Active,"<a href=""https://www.distillerie.bzh/"">Website</a>","<a href=""https://www.facebook.com/distillerie.bzh"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedesmenhirs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13168987804989415582"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2544571-d7920317"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-des-menhirs/91619"">Untappd</a>"
Cidre de Brocéliande,Brittany,2,0,3,5,2017,2024,4,Active,"<a href=""https://cidre-breton.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100064718610464"">Facebook</a>","<a href=""https://www.instagram.com/cidreriedebroceliande/"">Instagram</a>","<a href=""https://maps.google.com/?cid=531489837427288496"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g12449841-d16844210"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidre-du-pays-de-broceliande/158895"">Untappd</a>"
Domaine de la Galotière,Normandy,1,2,2,5,2017,2024,4,Active,"<a href=""https://www.lagalotiere.fr/"">Website</a>","<a href=""https://www.facebook.com/lagalotiere"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3334578271943351430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g608796-d12550194"">TripAdvisor</a>","<a href=""https://untappd.com/w/domaine-de-la-galotiere/38855"">Untappd</a>"
Cidrerie de Boäl,Brittany,0,4,1,5,2017,2022,4,Active,"<a href=""https://cidreriedeboal.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=11931011628979336491"">Google</a>",,"<a href=""https://untappd.com/w/le-cellier-de-bo-l/215761"">Untappd</a>"
Kermorgann,Brittany,3,1,0,4,2020,2024,4,Active,,"<a href=""https://www.facebook.com/poiredebretagne/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=16728634547598501219"">Google</a>",,
Manoir de Grandouet,Normandy,2,1,1,4,2018,2024,3,Active,"<a href=""https://www.manoir-de-grandouet.fr/"">Website</a>","<a href=""https://www.facebook.com/grandval.fr/"">Facebook</a>","<a href=""https://www.instagram.com/manoirdegrandouet/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1664850146101306839"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g672825-d6994534"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18942"">Untappd</a>"
La Ferme de Billy,Normandy,2,0,2,4,2018,2023,3,Active,"<a href=""https://www.ferme-de-billy.com/"">Website</a>","<a href=""https://www.facebook.com/lafermedebilly/"">Facebook</a>","<a href=""https://www.instagram.com/lafermedebilly/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11023078698699122653"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g7741562-d6974742"">TripAdvisor</a>","<a href=""https://untappd.com/w/la-ferme-de-billy/247621"">Untappd</a>"
La Ferme des Ruelles,Normandy,1,3,0,4,2020,2024,4,Active,"<a href=""https://www.fermedesruelles.com/"">Website</a>","<a href=""https://www.facebook.com/fermedesruelles"">Facebook</a>","<a href=""https://www.instagram.com/la_ferme_des_ruelles/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14485040344949359277"">Google</a>","<a href=""https://www.tripadvisor.com/Hotel_Review-g6623129-d6622401"">TripAdvisor</a>","<a href=""https://untappd.com/w/la-ferme-des-ruelles/141983"">Untappd</a>"
Francis Vallée,Centre-Val de Loire,1,2,1,4,2017,2020,4,Active,,,,,,"<a href=""https://untappd.com/w/francis-vallee/339822"">Untappd</a>"
Cidrerie Manoir du Kinkiz,Brittany,1,1,2,4,2019,2024,3,Active,"<a href=""https://www.kinkiz-terroir.bzh/"">Website</a>","<a href=""https://www.facebook.com/DomaineDuKinkiz/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=1999207604560008916"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g187100-d7745799"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/19870"">Untappd</a>"
Cidrerie de Rozavern,Brittany,1,0,3,4,2020,2023,3,Active,"<a href=""https://www.rozavern.fr/"">Website</a>","<a href=""https://www.facebook.com/cidreriederozavern"">Facebook</a>","<a href=""https://www.instagram.com/cidrerierozavern"">Instagram</a>","<a href=""https://maps.google.com/?cid=2631934440861688338"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1842069-d6157429"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-de-rozavern/357316"">Untappd</a>"
Domaine Duclos Fougeray,Normandy,0,3,1,4,2017,2023,3,Active,"<a href=""https://www.duclosfougeray.com/"">Website</a>","<a href=""https://www.facebook.com/domaine.duclosfougeray"">Facebook</a>","<a href=""https://www.instagram.com/domaine_duclos_fougeray/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12398185041013701779"">Google</a>",,"<a href=""https://untappd.com/brewery/103532"">Untappd</a>"
