COUNTA of Award,Award,col2,col3,col4,col5
Year,🏆 Best of Category,🥇 Gold,🥈 Silver,🥉 Honor,Grand Total
2018,5,17,39,54,115
2019,5,22,42,41,110
2020,6,41,49,33,129
2021,9,53,48,37,147
2022,11,30,56,59,156
2023,6,36,60,55,157
2024,5,47,53,50,155
Grand Total,47,246,347,329,969
