ID,Category,Award,Medalist,Entry,Points,Country,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
6,Still,🏆 Best of Category,Weidmann & Groh,2019 Boskop,118,Germany,,,,,,,,,
11,Still,🥇 Gold,Zapiain,2018 Zapiain Premium Euskal Sagardoa D.O.,117,Spain,,,,,,,,,
19,Still,🥇 Gold,Weidmann & Groh,2019 Speierling halbtrocken,114,Germany,,,,,,,,,
21,Still,🥇 Gold,Backstabber,Cider Classic,113,Switzerland,,,,,,,,,
23,Still,🥇 Gold,Weidmann & Groh,2019 Goldparmäne,113,Germany,,,,,,,,,
27,Still,🥇 Gold,Sidro Maley,Cidre Saint Bernard,112,Italy,,,,,,,,,
28,Still,🥇 Gold,Weidmann & Groh,2019 Kaiser Wilhelm,112,Germany,,,,,,,,,
29,Still,🥇 Gold,Weidmann & Groh,2019 Trierer Weinapfel,112,Germany,,,,,,,,,
30,Still,🥇 Gold,Sidras Bereziartua,Bereziartua Euskal Sagardoa D.O.,112,Spain,,,,,,,,,
34,Still,🥇 Gold,The Newt in Somerset,2018 Yarlington Mill Cyder,111,England,,,,,,,,,
43,Still,🥇 Gold,Manufactur Apfeltraum,Roter Adam Selection Altes Land,109,Germany,,,,,,,,,
50,Still,🥈 Silver,Sidra Somarroza,Sidra Natural Somarroza,108,Spain,,,,,,,,,
52,Still,🥈 Silver,Gutshof Kraatz,Wilde Kerle,107,Germany,,,,,,,,,
53,Still,🥈 Silver,Born in the Wetterau,Apfelwein pur,106,Germany,,,,,,,,,
54,Still,🥈 Silver,Cidre Mauret,Cidre Mauret Extra Brut,106,France,,,,,,,,,
57,Still,🥈 Silver,Kupela,Kupela Sidra Natural,105,France,,,,,,,,,
62,Still,🥈 Silver,KulturGut,Sauerstoff Apfelwein,104,Germany,,,,,,,,,
71,Still,🥈 Silver,Jumpravas Sidrs,2018 Mr. Plūme Saldais,103,Latvia,,,,,,,,,
72,Still,🥈 Silver,Backstabber,Cider Oak,102,Switzerland,,,,,,,,,
