ID,Category,Award,Medalist,Entry,Points,Country
2,Still,🏆 Best of Category,Kühbrein Most,Kühbrein - Champagner Renette,120,Austria
3,Still,🏆 Best of Category,Maley,Cidre du Saint Bernard,120,Italy
4,Still,🥇 Gold,Mosterei Möhl AG,Möhl Heritage Cider - Schöner Boskoop,114,Switzerland
5,Still,🥇 Gold,Zapian,Zapiain Premium D.O. Euskal Sagardoa,114,Spain
6,Still,🥇 Gold,Obstbau & Kelterei Schmitt,Viez,111,Germany
7,Still,🥈 Silver,Gutshof Kraatz,Rote Sternrenette 2020,108,Germany
8,Still,🥈 Silver,Jumpravas Sidrs,Mr. Plume Pussausais,103,Latvia
9,Still,🥈 Silver,Genussmosthof Veitlbauer,Jonagold Apfelwein halbtrocken,97,Austria
10,Still,🥉 Honor,Obsthof Brüggenwirth,Apfelgold fruchtig-elegant,95,Germany
11,Still,🥉 Honor,Ulvik Frukt & Cideri,Stille Stunder,94,Norway
12,Still,🥉 Honor,"Valle, Ballina y Fernández",El Gaitero Natural,93,Spain
13,Still,🥉 Honor,Krenzers Rhön,Bio,92,Germany
14,Still,🥉 Honor,Gutshof Kraatz,Kanada Renette 2020,91,Germany
15,Still,🥉 Honor,Petritegi Sagardoak 2011,Petritegi Euskal Sagardoa D.O.,87,Spain
16,Still,🥉 Honor,The Newt in Somerset,Fine Cyder 2020,84,England
17,Still,🥉 Honor,Kupela,Kupela Aingura,84,France
18,Still,🥉 Honor,Kupela,Kupela Traditional Basque Cider,83,France
19,Still,🥉 Honor,Apfelwein Kaes,Kaes Apfelwein,82,Germany
20,Still,🥉 Honor,Kelterei Nöll,Frankfurter Apfelwein Klassisch,81,Germany
21,Sparkling,🏆 Best of Category,Genussmosthof Veitlbauer,Secco Rosé,120,Austria
22,Sparkling,🏆 Best of Category,Jens Eberhardt Schaumweine,Jes Cider,120,Germany
23,Sparkling,🏆 Best of Category,Kelterei Herberth,Apfel-Klassiker Apfelschaumwein herb,120,Germany
24,Sparkling,🥇 Gold,Sekse Gard,Hardangerbonden - Pappa,114,Norway
25,Sparkling,🥇 Gold,Hardangergutane,Vindpust,114,Norway
26,Sparkling,🥇 Gold,OmCider,Valagubben,113,Norway
27,Sparkling,🥇 Gold,NeRo,Vill & Villig,112,Norway
28,Sparkling,🥇 Gold,Kühbrein Most,Kühbrein Red Love Secco,111,Austria
29,Sparkling,🥇 Gold,Cidre Bigoud,Cidre Le Brun Artisanal Doux,111,France
