WID,Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2860,Hillbilly Cider,New South Wales,1,13,21,35,2012,2023,10,Active,Australia,"<a href=""https://hillbillycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/HillbillyCider/"">Facebook</a>","<a href=""https://www.instagram.com/hillbillycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=904695025997043027"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d12290596"">TripAdvisor</a>","<a href=""https://untappd.com/w/hillbilly-harvest-co/44163"">Untappd</a>"
1190,Bilpin Cider,New South Wales,1,3,28,32,2013,2023,9,Active,Australia,"<a href=""https://bilpincider.com/"">Website</a>","<a href=""https://www.facebook.com/bilpincider"">Facebook</a>","<a href=""https://www.instagram.com/bilpincider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1982319036704250930"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18734"">Untappd</a>"
1553,Frank's Cider,Tasmania,0,5,22,27,2012,2023,10,Active,Australia,"<a href=""https://www.frankscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/FranksCider"">Facebook</a>","<a href=""https://www.instagram.com/frankscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281895632138757991"">Google</a>","<a href=""https://www.yelp.com/biz/franks-cider-bar-and-cafe-franklin"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g504298-d7270183"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/66943"">Untappd</a>"
1427,St Ronan's Cider,Victoria,5,10,10,25,2012,2023,11,Active,Australia,"<a href=""https://stronanscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/StRonansCider"">Facebook</a>","<a href=""https://www.instagram.com/st_ronans_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1347860416011573691"">Google</a>",,,"<a href=""https://untappd.com/StRonansCider"">Untappd</a>"
2838,Barossa Cider Co.,South Australia,4,11,9,24,2013,2023,10,Active,Australia,"<a href=""https://barossavalleyciderco.com/"">Website</a>","<a href=""https://www.facebook.com/barossacider/"">Facebook</a>","<a href=""https://www.instagram.com/barossacider.co/"">Instagram</a>",,,,"<a href=""https://untappd.com/TheBarossaValleyCiderCo"">Untappd</a>"
1131,Westons Cider,Herefordshire,3,3,18,24,2012,2018,5,Active,England,"<a href=""https://www.westons-cider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/WestonsCiderMill"">Facebook</a>","<a href=""https://www.instagram.com/westonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11779156514256391794"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g186303-d218508"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/6135"">Untappd</a>"
2862,Kangaroo Island Ciders,South Australia,2,12,9,23,2012,2023,10,Active,Australia,"<a href=""https://www.kangarooislandciders.com.au/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=7120331639179318476"">Google</a>",,,"<a href=""https://untappd.com/w/kangaroo-island-ciders/62318"">Untappd</a>"
2875,Sydney Brewery,New South Wales,2,6,15,23,2015,2023,8,Active,Australia,"<a href=""https://sydneybrewery.com/"">Website</a>","<a href=""https://www.facebook.com/SydneyBrewery/"">Facebook</a>","<a href=""https://www.instagram.com/sydneybrewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6674617705014025022"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g23197656-d15602287"">TripAdvisor</a>","<a href=""https://untappd.com/SydneyBrewhouse"">Untappd</a>"
2854,Funk Cider,Western Australia,1,7,14,22,2017,2023,6,Active,Australia,"<a href=""https://www.funkcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/funkdrinksco"">Facebook</a>","<a href=""https://www.instagram.com/funkdrinksco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10108756665139980900"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2308113-d11815291"">TripAdvisor</a>","<a href=""https://untappd.com/FunkCider"">Untappd</a>"
1494,The Apple Thief,New South Wales,0,3,18,21,2013,2023,8,Active,Australia,"<a href=""https://theapplethief.com.au/"">Website</a>","<a href=""https://www.facebook.com/TheAppleThiefCiders/"">Facebook</a>","<a href=""https://www.instagram.com/theapplethiefciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4762631239680624675"">Google</a>",,,"<a href=""https://untappd.com/brewery/21796"">Untappd</a>"
2872,Seven Oaks Farmhouse Cider,Victoria,0,5,14,19,2014,2022,6,Active,Australia,"<a href=""https://www.sevenoakscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/sevenoakscider/"">Facebook</a>","<a href=""https://www.instagram.com/sevenoaksfarmhouse"">Instagram</a>","<a href=""https://maps.google.com/?cid=8084176422687381883"">Google</a>",,,"<a href=""https://untappd.com/w/seven-oaks-farmhouse-cider/17183"">Untappd</a>"
2846,Cheeky Grog Co,Victoria,0,3,16,19,2015,2021,6,Active,Australia,"<a href=""https://cheekygrogco.com/"">Website</a>","<a href=""https://www.facebook.com/cheekygrogco"">Facebook</a>","<a href=""https://www.instagram.com/cheekygrogco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18312852297094426661"">Google</a>","<a href=""https://www.yelp.com/biz/cheeky-grog-co-bunbartha"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g12263922-d10807488"">TripAdvisor</a>","<a href=""https://untappd.com/w/cheeky-grog-co/247399"">Untappd</a>"
2858,Harcourt Perry & Cider Makers,Victoria,0,2,15,17,2015,2022,6,Active,Australia,"<a href=""https://harcourtcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/HarcourtCider/"">Facebook</a>","<a href=""https://www.instagram.com/harcourtcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8775592475109844928"">Google</a>",,,"<a href=""https://untappd.com/w/harcourt-perry-cider-makers/429734"">Untappd</a>"
1185,Mock Red Hill,Victoria,0,5,11,16,2014,2023,9,Active,Australia,"<a href=""https://www.mockredhill.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Mock-Red-Hill/181240308586996"">Facebook</a>","<a href=""https://www.instagram.com/mockredhill/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10552205982251777171"">Google</a>","<a href=""https://www.yelp.com/biz/mock-orchards-red-hill"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g552249-d9793363"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/28770"">Untappd</a>"
