Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
Victoria,21,97,245,363
New South Wales,14,68,197,279
South Australia,18,73,132,223
Tasmania,17,62,137,216
Western Australia,10,39,92,141
Herefordshire,5,9,20,34
Queensland,0,6,23,29
Hawke's Bay,3,3,6,12
Normandy,1,7,3,11
Tasman,0,3,7,10
Australian Capital Territory,1,4,4,9
Tipperary,1,3,4,8
Nelson,0,2,5,7
Île-de-France,1,1,4,6
Hesse,3,1,1,5
Veneto,2,1,2,5
West Coast,0,0,5,5
Pays de la Loire,0,2,1,3
Suffolk,0,2,1,3
Asturias,0,0,3,3
Somerset,1,1,0,2
Brittany,1,0,1,2
Auckland,0,1,1,2
West Midlands,0,1,1,2
Navarre,0,0,2,2
Rhondda Cynon Taf,0,0,2,2
Western Cape,0,1,0,1
Liège ,0,0,1,1
New York,0,0,1,1
Total,99,387,901,1387
