Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
Tasmania,4,7,25,36
New South Wales,3,8,25,36
Victoria,2,12,17,31
South Australia,5,7,13,25
Western Australia,2,8,13,23
Tasman,3,2,---,5
Australian Capital Territory,---,1,2,3
Queensland,1,---,1,2
Wellington,---,---,1,1
Total,20,45,97,162
