Year,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total
2011,1,7,10,18
2012,3,8,26,37
2013,7,18,48,73
2014,3,21,34,58
2015,2,25,78,105
2016,5,25,88,118
2017,5,48,141,194
2018,13,53,121,187
2019,16,37,103,156
2021,22,60,70,152
2022,9,35,79,123
2023,13,51,104,168
Total,99,388,902,1389
