ID,Producer,Product,Award,Class,BOC,Class Name
1,(Phoenix Beers) Henney's Cider Co,Henney's Dry Cider,Gold,1,1,Dry Cider
2,(Phoenix Beers) Henney's Cider Co,Henney's Vintage Cider,Silver,1,0,Dry Cider
3,Small Acres Cyder,Somerset Still 2010,Bronze,1,0,Dry Cider
4,The Hills Cider Company,Apple,No Medal,1,0,Dry Cider
5,Mock Red Hill,Dry Cider,No Medal,1,0,Dry Cider
6,(Phoenix Beers) Stier Kelterei,Stier Red Cider,No Medal,1,0,Dry Cider
7,The Cidery,Spider Cider,No Medal,1,0,Dry Cider
8,Daylesford Cider Company,Daylesford Cider Dry,No Medal,1,0,Dry Cider
9,The Cidery,Vintage Gold,No Medal,1,0,Dry Cider
10,Elephant's Rock Cider Company,Scrumpy,No Medal,1,0,Dry Cider
11,Elephant's Rock Cider Company,Apple Cider,No Medal,1,0,Dry Cider
12,Elephant's Rock Cider Company,Apple Pear Cider,No Medal,1,0,Dry Cider
13,The Cidery,Bittersweet,No Medal,1,0,Dry Cider
14,Innspire / Gwynt Y Ddraig,Farmhouse Cloudy Scrumpy,Bronze,2,1,Medium Cider
15,Small Acres Cyder,Norfolk Still 2010,Bronze,2,0,Medium Cider
16,Mock Red Hill,Classic Cider,No Medal,2,0,Medium Cider
17,Independent Distillers,Three Kings Cider,No Medal,2,0,Medium Cider
18,Coldstream Brewery P/L,Original Cider,No Medal,2,0,Medium Cider
19,The Australian Brewery,AB Fresh Press Cider,No Medal,2,0,Medium Cider
20,Innspire / Gwynt Y Ddraig,Black Dragon,No Medal,2,0,Medium Cider
21,Sydney Cider,Sydney Cider,No Medal,2,0,Medium Cider
22,Batlow Brewing Co,Batlow Premium Cider,No Medal,2,0,Medium Cider
23,Little Creatures Brewing,Pipsqueak Best Cider,No Medal,2,0,Medium Cider
24,Little Creatures Brewing,Aspall Suffolk Cyder,No Medal,2,0,Medium Cider
25,Daylesford Cider Company,Daylesford Cider Medium,No Medal,2,0,Medium Cider
26,Lobo Cider,Lobo Cloudy Cider Apple,No Medal,2,0,Medium Cider
27,The Hills Cider Company,Apple Scrumpy,No Medal,2,0,Medium Cider
28,Gundaroo Cider Company,Jolly Miller Draught Apple Cider,No Medal,2,0,Medium Cider
29,Elephant's Rock Cider Company,Medium Sweet Cider,No Medal,2,0,Medium Cider
30,Bilpin Cider Company,Bilpin Original Apple Cider,No Medal,2,0,Medium Cider
31,(Phoenix Beers) Henney's Cider Co,Henney’s Sweet Cider,Silver,3,1,Sweet Cider
32,Suntory (Aust) P/L,Magners Original Irish Cider,Bronze,3,0,Sweet Cider
33,Small Acres Cyder,Appscato 2010,Bronze,3,0,Sweet Cider
34,Innspire / Gwynt Y Ddraig,Orchard Gold,Bronze,3,0,Sweet Cider
35,Coldstream Brewery P/L,Crushed Apple Cider,No Medal,3,0,Sweet Cider
36,Innspire / Gwynt Y Ddraig,Farmhouse Vintage Scrumpy,No Medal,3,0,Sweet Cider
37,Mock Red Hill,Sweet Cider,No Medal,3,0,Sweet Cider
38,Seven Oaks Farmhouse Cider,Lady William,No Medal,3,0,Sweet Cider
39,Seven Oaks Farmhouse Cider,Bramleys Seedling,No Medal,3,0,Sweet Cider
40,Innspire / Gwynt Y Ddraig,Dabinett,No Medal,3,0,Sweet Cider
41,Innspire / Gwynt Y Ddraig,Gold Medal,No Medal,3,0,Sweet Cider
42,(Phoenix Beers) Stassen Cider Co.,Stassen Over Ice Apple,No Medal,3,0,Sweet Cider
43,Innspire / Gwynt Y Ddraig,Yarlington Mill,No Medal,3,0,Sweet Cider
44,The Cidery,Sweet Rosie,No Medal,3,0,Sweet Cider
45,Daylesford Cider Company,Daylesford Cider Sweet,No Medal,3,0,Sweet Cider
46,(Phoenix Beers) Domaine Dupont,Famille E Dupont Bouche Fermier,Silver,4,1,Bottle Conditioned / Methode Champenoise Cider
47,(Phoenix Beers) Domaine Dupont,Domaine Dupont Reserve,Silver,4,0,Bottle Conditioned / Methode Champenoise Cider
48,(Phoenix Beers) Domaine Dupont,Etienne Dupont Normandy Cider,No Medal,4,0,Bottle Conditioned / Methode Champenoise Cider
49,Small Acres Cyder,Cidre Rouge 2009,No Medal,4,0,Bottle Conditioned / Methode Champenoise Cider
50,Lobo Cider,Lobo Royale,No Medal,4,0,Bottle Conditioned / Methode Champenoise Cider
51,Henry of Harcourt,Duck and Bull,No Medal,4,0,Bottle Conditioned / Methode Champenoise Cider
52,Elephant's Rock Cider Company,Apple Pear Cider,No Medal,4,0,Bottle Conditioned / Methode Champenoise Cider
53,Elephant's Rock Cider Company,Oaked Pear Cider,Bronze,5,1,Dry Perry
54,The Cidery,Perry,No Medal,5,0,Dry Perry
55,The Hills Cider Company,Pear / Perry,Silver,6,1,Medium Perry
56,Core Cider House,Core Traditional Pear,Bronze,6,0,Medium Perry
57,Napoleone & Co / Punt Road,Pear Cider,No Medal,6,0,Medium Perry
58,Suntory (Aust) P/L,Magners Original Irish Pear Cider,No Medal,7,0,Sweet Perry
59,Innspire / Gwynt Y Ddraig,Perry Vale,No Medal,7,0,Sweet Perry
60,(Phoenix Beers) Stassen Cider Co.,Stassen Over Ice Pear,No Medal,7,0,Sweet Perry
61,Napoleone & Co / Punt Road,Pear Cider Traditionelle,Silver,8,1,Bottle Conditioned / Methode Champenoise Perry
62,Borrodell on the Mount,Borrodell Perry,Bronze,8,0,Bottle Conditioned / Methode Champenoise Perry
63,Lobo Cider,Lobo Perry,No Medal,8,0,Bottle Conditioned / Methode Champenoise Perry
64,Henry of Harcourt,Perry,No Medal,8,0,Bottle Conditioned / Methode Champenoise Perry
65,Wilmot Hills,Wilmot Hills Vineyard Dry Cider,No Medal,9,0,Dry Cider made using water and/or sugar in production
66,Gwynnyth Vineyard,Gwynnyth Vineyard Bottle Fermented (ageing on lees),No Medal,9,0,Dry Cider made using water and/or sugar in production
67,Gwynnyth Vineyard,Gwynnyth Vineyard Bottle Fermented (disgorged),No Medal,9,0,Dry Cider made using water and/or sugar in production
68,Sutton's,Dry Cider,No Medal,9,0,Dry Cider made using water and/or sugar in production
69,Sully’s Cider – The Old Cheese Factory,Alchemist,No Medal,9,0,Dry Cider made using water and/or sugar in production
70,Vok Beverages,Three Oaks Cider Co Dry,No Medal,9,0,Dry Cider made using water and/or sugar in production
71,Australian Fermenters,Savannah Dry Cider,No Medal,9,0,Dry Cider made using water and/or sugar in production
72,(Liquid Ideas) Carlton and United,Dirty Granny,Silver,10,1,Medium Cider made using water and/or sugar in production
73,Old Mout Cider,Scrumpy,Bronze,10,0,Medium Cider made using water and/or sugar in production
74,Sutton's,Medium,No Medal,10,0,Medium Cider made using water and/or sugar in production
75,Old Mout Cider,Classic Apple,No Medal,10,0,Medium Cider made using water and/or sugar in production
76,(Liquid Ideas) Carlton and United,Bulmers Original,No Medal,10,0,Medium Cider made using water and/or sugar in production
77,Vok Beverages,Three Oaks Cider Co Original,No Medal,10,0,Medium Cider made using water and/or sugar in production
78,(Liquid Ideas) Carlton and United,Strongbow Clear,No Medal,10,0,Medium Cider made using water and/or sugar in production
79,Redoak,Redoak Cider,No Medal,10,0,Medium Cider made using water and/or sugar in production
80,(Drinkworks) Monteith,Monteith’s Crushed Apple Cider,No Medal,11,0,Sweet Cider made using water and/or sugar in production
81,Rebello / Sunny Ridge,Cheeky Rascal Apple Cider,No Medal,11,0,Sweet Cider made using water and/or sugar in production
82,Sutton's,Sweet Cider,No Medal,11,0,Sweet Cider made using water and/or sugar in production
83,(Liquid Ideas) Carlton and United,Strongbow Original,No Medal,11,0,Sweet Cider made using water and/or sugar in production
84,Vok Beverages,Three Oaks Cider Co Sweet,No Medal,11,0,Sweet Cider made using water and/or sugar in production
85,(Liquid Ideas) Carlton and United,Mercury Draught,No Medal,11,0,Sweet Cider made using water and/or sugar in production
86,Cider Productions (David Purcell),The Applethief – Pink Lady,No Medal,11,0,Sweet Cider made using water and/or sugar in production
87,Redoak,Perry,No Medal,13,0,Medium Perry made using water and/or sugar in production
88,(Liquid Ideas) Carlton and United,Bulmers Pear,No Medal,14,0,Sweet Perry made using water and/or sugar in production
89,(Liquid Ideas) Carlton and United,Strongbow Summer Pear,No Medal,14,0,Sweet Perry made using water and/or sugar in production
90,2 Brothers,Gypsy,No Medal,14,0,Sweet Perry made using water and/or sugar in production
91,(Drinkworks) Monteith,Monteith’s Pear Cider,No Medal,14,0,Sweet Perry made using water and/or sugar in production
92,Old Mout Cider,Pear Scrumpy,No Medal,14,0,Sweet Perry made using water and/or sugar in production
93,Rebello / Sunny Ridge,Cheeky Rascal Pear Cider (Perry),No Medal,14,0,Sweet Perry made using water and/or sugar in production
