COUNTA of Award,Award,col2,col3,col4
Region,🥇 Gold,🥈 Silver,🥉 Bronze,Grand Total
Australian Capital Territory,,1,2,3
New South Wales,3,8,25,36
Queensland,1,,1,2
South Australia,5,7,13,25
Tasman,3,2,,5
Tasmania,4,7,25,36
Victoria,2,12,17,31
Wellington,,,1,1
Western Australia,2,8,13,23
Grand Total,20,45,97,162
