ID,Producer,Product,Award,Score,Class,BOC,Class Name
1,321 Cider,321 Learmonth Traditional Still Cider,Bronze,78,1A,0,New World Dry Cider
2,Batlow Cider,Batlow Premium Cider,No Medal,50,1A,0,New World Dry Cider
3,Blue Elephant Beverage Co,Draught Cider - Keg,No Medal,50,1A,0,New World Dry Cider
4,Bridge Road Brewers,Bridge Road Brewers Scrumpy Cider,No Medal,50,1A,0,New World Dry Cider
5,Henry of Harcourt,Original Cider,Bronze,79,1A,0,New World Dry Cider
6,Jachmann Apple Co,Jachmann Lady William Apple Cider 500 Ml,Bronze,83,1A,1,New World Dry Cider
7,Jachmann Apple Co,Jachmann Lady William Apple Cider 750 Ml,Bronze,82,1A,0,New World Dry Cider
8,Lost Pippin,Lost Pippin Still,No Medal,50,1A,0,New World Dry Cider
9,Mock Red Hill,Mock Red Hill Dry Cider,No Medal,50,1A,0,New World Dry Cider
10,Mr Little Cider,Apple Cider,No Medal,50,1A,0,New World Dry Cider
11,Red Brick Road Cider,Cox's Orange Pippin Cider,Bronze,78,1A,0,New World Dry Cider
12,Spreyton Cider Co,Spreyton Classic Cider,No Medal,50,1A,0,New World Dry Cider
13,Sutton's Cider,Suttons Cider,Bronze,80,1A,0,New World Dry Cider
14,Willie Smith’s Cider,Willie Smith's BONE DRY Cider,No Medal,50,1A,0,New World Dry Cider
15,Adams Orchard Cider,Adams Orchard Dry Apple Cider,Bronze,79,1B,0,Traditional Dry Cider
16,Borrodell Vineyard,Borrodell Vineyard's Heritage Apple Cider,Gold,93,1B,1,Traditional Dry Cider
17,Core Cider Company,HARDCORE,Bronze,78,1B,0,Traditional Dry Cider
18,Henry of Harcourt,Kingston Black '14,No Medal,50,1B,0,Traditional Dry Cider
19,Kangaroo Island Ciders,Colony Cove Vintage Cider,Bronze,77.5,1B,0,Traditional Dry Cider
20,LOBO Cider,LOBO Norman,No Medal,50,1B,0,Traditional Dry Cider
21,Lost Pippin,Lost Pippin Vintage 2014,Bronze,81,1B,0,Traditional Dry Cider
22,Pennyroyal Raspberry Farm & Cidery,Crucible Cider,Silver,85,1B,0,Traditional Dry Cider
23,Small Acres Cyder,Small Acres Cyder Somerset Still 2014,Silver,85,1B,0,Traditional Dry Cider
24,Spreyton Cider Co,Vintage 2015,Bronze,77.5,1B,0,Traditional Dry Cider
25,Australian Brewery,Fresh Press Cider,No Medal,50,2A,0,New World Medium Cider
26,Batlow Cider,Batlow Cloudy Cider,No Medal,50,2A,0,New World Medium Cider
27,Bilpin Cider Co,Bilpin Original Cider,Bronze,77.5,2A,0,New World Medium Cider
28,Blue Elephant Beverage Co,Cider No.1,No Medal,50,2A,0,New World Medium Cider
29,Carlton and United Breweries,Strongbow Clear (Lower Carb) Cider,No Medal,50,2A,0,New World Medium Cider
30,Carlton and United Breweries,Bulmers Original,Bronze,77.5,2A,0,New World Medium Cider
31,Cheeky Grog Co,Flip Cider,Bronze,78,2A,0,New World Medium Cider
32,Core Cider Company,MELTDOWN,Bronze,77.5,2A,0,New World Medium Cider
33,Darkes Cider,Howler,No Medal,50,2A,0,New World Medium Cider
