ID,Producer,Product,Award,Score,Class,BOC,Class Name
1,3 Sons Cider,Pink Lady,Silver,90,1,1,New World Dry Cider
2,Bilpin Cider Co,Bilpin Archibald Extra Brut,Bronze,80,1,0,New World Dry Cider
3,Core Cider,Hard Core,No Medal,50,1,0,New World Dry Cider
4,Core Cider,Scorerumpy,No Medal,50,1,0,New World Dry Cider
5,FUNK Cider,BLACK APPLE,No Medal,50,1,0,New World Dry Cider
6,Granite Belt Cider Co,Twisted Branch ,Bronze,82,1,0,New World Dry Cider
7,Incy Wincy Cyder,The Hunstman - 2017,Bronze,78,1,0,New World Dry Cider
8,Incy Wincy Cyder,Vat Of 9 Tails (VNT) 2017,Bronze,83,1,0,New World Dry Cider
9,Incy Wincy Cyder,WILD 2017,Bronze,80,1,0,New World Dry Cider
10,Incy Wincy Cyder,X3 - 2016,Silver,86,1,0,New World Dry Cider
11,Runamuk Cider Co.,The Scoundrel,Silver,88,1,0,New World Dry Cider
12,SBO,Sturmer Pippin,Bronze,78,1,0,New World Dry Cider
13,Simple Cider,Coxs Orange Pippin,No Medal,50,1,0,New World Dry Cider
14,Small Acres Cyder,Small Acres Cyder 2016 Somerset Still,No Medal,50,1,0,New World Dry Cider
15,Spreyton Cider Co,Classic Cider,No Medal,50,1,0,New World Dry Cider
16,Sunshine Coast Cider,Bottle Fermented,Bronze,79,1,0,New World Dry Cider
17,Sutton's Juice Factory & Cidery,Draught Cider,Bronze,84,1,0,New World Dry Cider
18,The Apple Thief Ciders ,Cloudy Limited Release Cider (Keg Only),No Medal,50,1,0,New World Dry Cider
19,William Smith & Sons,Willie Smith's Bone Dry Cider,Bronze,80,1,0,New World Dry Cider
20,Winter Brook Vineyard,Winter Brook Vineyard 2017 Cider,No Medal,50,1,0,New World Dry Cider
21,Aspall,Aspall Draught Cyder,No Show,0,2,0,New World Medium Cider
22,Batlow Cider,Batlow Premium Cider,Bronze,80,2,0,New World Medium Cider
23,Beechworth Cider,Classic,No Medal,50,2,0,New World Medium Cider
24,Bilpin Cider Co,Bilpin Archibald Cloudy Cider,Bronze,80,2,0,New World Medium Cider
25,Black Devil Cider,Black Devil,No Medal,50,2,0,New World Medium Cider
26,Borrodell,Comrade 2017,Silver,88,2,0,New World Medium Cider
27,Cheeky Tiki ,Cheeky Tiki -  Dry Apple Cider,Silver,85,2,0,New World Medium Cider
28,Darkes Cider,Darkes Dry,No Medal,50,2,0,New World Medium Cider
29,Faire Ferments,Co-Op Orchard Blend,Bronze,78,2,0,New World Medium Cider
30,Fils De Pømme,Le Sauvage,Bronze,78,2,0,New World Medium Cider
31,Flying Brick Cider Co,Draught Cider,Silver,90,2,0,New World Medium Cider
32,Granite Belt Cider Co,Treehouse Cider,Silver,90,2,0,New World Medium Cider
33,Hansen Tasmania,Hansen Tasmania Apple Cider 330ml,Bronze,78,2,0,New World Medium Cider
